dataset,missing_rate,method,seed,mrr,hit1,hit3,hit10,missing_text_mrr,mask_checksum_sha256,log_file
MKG-W,0.1,DHNS,0,0.32118651270866394,0.2368975281715393,0.3669864237308502,0.4667758345603943,0.29299921296928777,5a2925360da74cdfbdd1bc62c886774394746bba67e2c6d3efda3fea989545b8,results/mkgw_main_table/inject10/dhns_seed0.log
MKG-W,0.1,DHNS,1,0.3189389109611511,0.23537668585777283,0.36488068103790283,0.4626813530921936,0.2970482511182778,3b9c72d127bcdda6b84c7bdda708c3f5be00bfd1866cbc65c321473efd5b0877,results/mkgw_main_table/inject10/dhns_seed1.log
MKG-W,0.1,DHNS,2,0.3204306960105896,0.23631258308887482,0.36581653356552124,0.4645531177520752,0.3180216655469569,130865a038f5063992475a9764c5a20c4c0c14d24d29059aa0862935b470ca05,results/mkgw_main_table/inject10/dhns_seed2.log
MKG-W,0.1,MMA-HNS,0,0.33567183870950296,0.25701918577445015,0.37505849321478707,0.47414599906410854,0.30061753335497,5a2925360da74cdfbdd1bc62c886774394746bba67e2c6d3efda3fea989545b8,results/mkgw_main_table/inject10/mma_hns_seed0.log
MKG-W,0.1,MMA-HNS,1,0.33429618182889664,0.2550304164716893,0.3757604117922321,0.4733270940570894,0.30751857189420456,3b9c72d127bcdda6b84c7bdda708c3f5be00bfd1866cbc65c321473efd5b0877,results/mkgw_main_table/inject10/mma_hns_seed1.log
MKG-W,0.1,MMA-HNS,2,0.33298355951004777,0.25128685072531587,0.3769302760879738,0.47519887693027607,0.3195435270228834,130865a038f5063992475a9764c5a20c4c0c14d24d29059aa0862935b470ca05,results/mkgw_main_table/inject10/mma_hns_seed2.log
MKG-W,0.3,DHNS,0,0.3222990334033966,0.24064108729362488,0.36476370692253113,0.4631492793560028,0.30761241888251145,3972575a0ae2e133c908e8549b05423f375f09663a5c7560b1be22a87713cdf0,results/mkgw_main_table/inject30/dhns_seed0.log
MKG-W,0.3,DHNS,1,0.3148326277732849,0.22859148681163788,0.36195603013038635,0.4624473452568054,0.30250653048235393,a20cca0621e9d8082a8592b4ada816b42dedf7b068283ead792d9a26daff3c42,results/mkgw_main_table/inject30/dhns_seed1.log
MKG-W,0.3,DHNS,2,0.32545045018196106,0.24613943696022034,0.36581656336784363,0.4633832573890686,0.33664511718973855,22899c19129fd5245e7dc44dcdd11cfd5bd0d2821b722fba7228d08366503c5c,results/mkgw_main_table/inject30/dhns_seed2.log
MKG-W,0.3,MMA-HNS,0,0.34181392703688457,0.2653252222742162,0.3811417875526439,0.47683668694431447,0.31805851494425996,3972575a0ae2e133c908e8549b05423f375f09663a5c7560b1be22a87713cdf0,results/mkgw_main_table/inject30/mma_hns_seed0.log
MKG-W,0.3,MMA-HNS,1,0.3223017586279836,0.23525970987365466,0.370145063172672,0.4681796911558259,0.2950177576160739,a20cca0621e9d8082a8592b4ada816b42dedf7b068283ead792d9a26daff3c42,results/mkgw_main_table/inject30/mma_hns_seed1.log
MKG-W,0.3,MMA-HNS,2,0.34484817835090953,0.26824988301357044,0.38511932615816563,0.47566682264857274,0.3544617582716302,22899c19129fd5245e7dc44dcdd11cfd5bd0d2821b722fba7228d08366503c5c,results/mkgw_main_table/inject30/mma_hns_seed2.log
MKG-W,0.5,DHNS,0,0.3279809355735779,0.2504679560661316,0.367220401763916,0.463617205619812,0.31943472414514107,f9b5e576c0c4e49667779746b402f6fceeba130725956b24c379c7d3401fdd5f,results/mkgw_main_table/inject50/dhns_seed0.log
MKG-W,0.5,DHNS,1,0.32471156120300293,0.24496959149837494,0.3680393099784851,0.4650210738182068,0.3189592648682996,057764a3c639f65b5d607fcb9b7a2fae7561b008cca6266b592c6d4c91ac7fc0,results/mkgw_main_table/inject50/dhns_seed1.log
MKG-W,0.5,DHNS,2,0.32420217990875244,0.24450163543224335,0.36523163318634033,0.46057558059692383,0.32984749053698637,05954f8b1bccf572915d1f30e16609130ed166c37bc0b369b0a19c3a0ea83e8a,results/mkgw_main_table/inject50/dhns_seed2.log
MKG-W,0.5,MMA-HNS,0,0.3432159647186451,0.2693027608797379,0.379153018249883,0.4725081890500702,0.3293344734294115,f9b5e576c0c4e49667779746b402f6fceeba130725956b24c379c7d3401fdd5f,results/mkgw_main_table/inject50/mma_hns_seed0.log
MKG-W,0.5,MMA-HNS,1,0.3451309430670906,0.270004679457183,0.3820776789892372,0.479293401965372,0.3305346422692649,057764a3c639f65b5d607fcb9b7a2fae7561b008cca6266b592c6d4c91ac7fc0,results/mkgw_main_table/inject50/mma_hns_seed1.log
MKG-W,0.5,MMA-HNS,2,0.345297017933,0.2715255030416472,0.3821946654188114,0.47578380907814694,0.34741776952837283,05954f8b1bccf572915d1f30e16609130ed166c37bc0b369b0a19c3a0ea83e8a,results/mkgw_main_table/inject50/mma_hns_seed2.log
