seed,method_key,method,approach,workload,calibration_mode,validation_protocol,mask_checksum_sha256,selected_temperature,log_path,json_path,test_mrr,test_hit1,test_hit3,test_hit10
0,full_hpsac_table5,Full HPSAC (Table 5),Original groupwise search over lambda and alpha.,reference,hpsac,full_validation,500e660692f0decd75ba57c71d0d5b31ecfc10b05756832f67ea40ff7ae3417f,,results/mkgy_text_missing/revision_low_degree30/hpsac_seed0.log,,0.273351397453489,0.21010138941043935,0.3073601201652272,0.38884716485167103
1,full_hpsac_table5,Full HPSAC (Table 5),Original groupwise search over lambda and alpha.,reference,hpsac,full_validation,c913edd722b7eb42d8cdbc248b7c16469a13a91c24ebe3ed19e2d6dd8d9b330b,,results/mkgy_text_missing/revision_low_degree30/hpsac_seed1.log,,0.2974123384473024,0.23582425835523846,0.33214419827262487,0.40424333458505446
2,full_hpsac_table5,Full HPSAC (Table 5),Original groupwise search over lambda and alpha.,reference,hpsac,full_validation,db45462ffcb79e45f0cd6d726e223d8765a516db14262f9e3e4d286981497287,,results/mkgy_text_missing/revision_low_degree30/hpsac_seed2.log,,0.2767074950692064,0.21329327825760422,0.31167855801727373,0.39091250469395417
0,fixed,Fixed parameters,No group search; use lambda=0.25 and alpha=0.0 for every group.,very_low,fixed,separate_50_50,500e660692f0decd75ba57c71d0d5b31ecfc10b05756832f67ea40ff7ae3417f,,results/mkgy_text_missing/calibration_baselines_low_degree30_split/fixed_seed0.log,results/mkgy_text_missing/calibration_baselines_low_degree30_split/fixed_seed0.json,0.22524582852532696,0.17499061209162597,0.24915508824633872,0.31825009387908376
0,alpha_only,Alpha-only calibration,Fix lambda=0.25 and run groupwise Pareto-safe search over alpha.,low,alpha_only,separate_50_50,500e660692f0decd75ba57c71d0d5b31ecfc10b05756832f67ea40ff7ae3417f,,results/mkgy_text_missing/calibration_baselines_low_degree30_split/alpha_only_seed0.log,results/mkgy_text_missing/calibration_baselines_low_degree30_split/alpha_only_seed0.json,0.25364251411379146,0.19564401051445737,0.2818250093879084,0.3644386030792339
0,temperature,Temperature scaling,Search a global positive T on validation and evaluate score/T.,low,temperature,separate_50_50,500e660692f0decd75ba57c71d0d5b31ecfc10b05756832f67ea40ff7ae3417f,1.0,results/mkgy_text_missing/calibration_baselines_low_degree30_split/temperature_seed0.log,results/mkgy_text_missing/calibration_baselines_low_degree30_split/temperature_seed0.json,0.22524582852532696,0.17499061209162597,0.24915508824633872,0.31825009387908376
1,fixed,Fixed parameters,No group search; use lambda=0.25 and alpha=0.0 for every group.,very_low,fixed,separate_50_50,c913edd722b7eb42d8cdbc248b7c16469a13a91c24ebe3ed19e2d6dd8d9b330b,,results/mkgy_text_missing/calibration_baselines_low_degree30_split/fixed_seed1.log,results/mkgy_text_missing/calibration_baselines_low_degree30_split/fixed_seed1.json,0.24609961801942065,0.1877581674802854,0.2790086368757041,0.35185880585805485
1,alpha_only,Alpha-only calibration,Fix lambda=0.25 and run groupwise Pareto-safe search over alpha.,low,alpha_only,separate_50_50,c913edd722b7eb42d8cdbc248b7c16469a13a91c24ebe3ed19e2d6dd8d9b330b,,results/mkgy_text_missing/calibration_baselines_low_degree30_split/alpha_only_seed1.log,results/mkgy_text_missing/calibration_baselines_low_degree30_split/alpha_only_seed1.json,0.2756318498381382,0.21423206909500564,0.31055200901239205,0.3813368381524596
1,temperature,Temperature scaling,Search a global positive T on validation and evaluate score/T.,low,temperature,separate_50_50,c913edd722b7eb42d8cdbc248b7c16469a13a91c24ebe3ed19e2d6dd8d9b330b,1.0,results/mkgy_text_missing/calibration_baselines_low_degree30_split/temperature_seed1.log,results/mkgy_text_missing/calibration_baselines_low_degree30_split/temperature_seed1.json,0.24609961801942065,0.1877581674802854,0.2790086368757041,0.35185880585805485
2,fixed,Fixed parameters,No group search; use lambda=0.25 and alpha=0.0 for every group.,very_low,fixed,separate_50_50,db45462ffcb79e45f0cd6d726e223d8765a516db14262f9e3e4d286981497287,,results/mkgy_text_missing/calibration_baselines_low_degree30_split/fixed_seed2.log,results/mkgy_text_missing/calibration_baselines_low_degree30_split/fixed_seed2.json,0.22722630675559288,0.173676304919264,0.25291025159594444,0.32820127675553884
2,alpha_only,Alpha-only calibration,Fix lambda=0.25 and run groupwise Pareto-safe search over alpha.,low,alpha_only,separate_50_50,db45462ffcb79e45f0cd6d726e223d8765a516db14262f9e3e4d286981497287,,results/mkgy_text_missing/calibration_baselines_low_degree30_split/alpha_only_seed2.log,results/mkgy_text_missing/calibration_baselines_low_degree30_split/alpha_only_seed2.json,0.25512804742940326,0.19583176868193766,0.28370259106271123,0.36913255726624106
2,temperature,Temperature scaling,Search a global positive T on validation and evaluate score/T.,low,temperature,separate_50_50,db45462ffcb79e45f0cd6d726e223d8765a516db14262f9e3e4d286981497287,1.0,results/mkgy_text_missing/calibration_baselines_low_degree30_split/temperature_seed2.log,results/mkgy_text_missing/calibration_baselines_low_degree30_split/temperature_seed2.json,0.22722630675559288,0.173676304919264,0.25291025159594444,0.32820127675553884
