
libgomp: Invalid value for environment variable OMP_NUM_THREADS

libgomp: Invalid value for environment variable OMP_NUM_THREADS
train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/root/autodl-tmp/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=2 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.1 | text_missing_mask_strategy=random | text_missing_mask_path=masks/MKG-Y_random_text10_seed2.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=True | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 10.0000%
  applied_additional_missing_rate: 10.0032%
  available_text_before_injection: 12316
  additionally_masked_text_entities: 1232
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: 9d373b9b9e310a0658e16f759e2e39b88fd096393dafe21ae6fa44b441b5a184
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 3916 (26.1067%)
  missing_image_count: 756 (5.0400%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=10 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 326.670119, DiffHEG loss 96.456310:   0%|          | 0/400 [00:21<?, ?it/s]
Epoch 0 | KGC loss: 326.670119, DiffHEG loss 96.456310:   0%|          | 1/400 [00:21<2:20:22, 21.11s/it]
Epoch 1 | KGC loss: 15.592844, DiffHEG loss 57.748509:   0%|          | 1/400 [00:41<2:20:22, 21.11s/it] 
Epoch 1 | KGC loss: 15.592844, DiffHEG loss 57.748509:   0%|          | 2/400 [00:41<2:18:34, 20.89s/it]
Epoch 2 | KGC loss: 7.007763, DiffHEG loss 50.543817:   0%|          | 2/400 [01:02<2:18:34, 20.89s/it] 
Epoch 2 | KGC loss: 7.007763, DiffHEG loss 50.543817:   1%|          | 3/400 [01:02<2:17:39, 20.81s/it]
Epoch 3 | KGC loss: 4.876945, DiffHEG loss 48.572391:   1%|          | 3/400 [01:23<2:17:39, 20.81s/it]
Epoch 3 | KGC loss: 4.876945, DiffHEG loss 48.572391:   1%|          | 4/400 [01:23<2:17:01, 20.76s/it]
Epoch 4 | KGC loss: 3.593883, DiffHEG loss 48.115101:   1%|          | 4/400 [01:43<2:17:01, 20.76s/it]
Epoch 4 | KGC loss: 3.593883, DiffHEG loss 48.115101:   1%|▏         | 5/400 [01:43<2:16:32, 20.74s/it]
Epoch 5 | KGC loss: 2.779465, DiffHEG loss 47.953620:   1%|▏         | 5/400 [02:04<2:16:32, 20.74s/it]
Epoch 5 | KGC loss: 2.779465, DiffHEG loss 47.953620:   2%|▏         | 6/400 [02:04<2:16:03, 20.72s/it]
Epoch 6 | KGC loss: 2.173237, DiffHEG loss 47.913894:   2%|▏         | 6/400 [02:25<2:16:03, 20.72s/it]
Epoch 6 | KGC loss: 2.173237, DiffHEG loss 47.913894:   2%|▏         | 7/400 [02:25<2:15:45, 20.73s/it]
Epoch 7 | KGC loss: 1.775629, DiffHEG loss 47.892361:   2%|▏         | 7/400 [02:46<2:15:45, 20.73s/it]
Epoch 7 | KGC loss: 1.775629, DiffHEG loss 47.892361:   2%|▏         | 8/400 [02:46<2:15:27, 20.73s/it]
Epoch 8 | KGC loss: 1.471410, DiffHEG loss 47.897395:   2%|▏         | 8/400 [03:06<2:15:27, 20.73s/it]
Epoch 8 | KGC loss: 1.471410, DiffHEG loss 47.897395:   2%|▏         | 9/400 [03:06<2:15:06, 20.73s/it]
Epoch 9 | KGC loss: 1.269726, DiffHEG loss 47.889674:   2%|▏         | 9/400 [03:27<2:15:06, 20.73s/it]
Epoch 9 | KGC loss: 1.269726, DiffHEG loss 47.889674:   2%|▎         | 10/400 [03:27<2:14:46, 20.73s/it]
Epoch 10 | KGC loss: 1.102904, DiffHEG loss 47.884832:   2%|▎         | 10/400 [03:48<2:14:46, 20.73s/it]
Epoch 10 | KGC loss: 1.102904, DiffHEG loss 47.884832:   3%|▎         | 11/400 [03:48<2:14:22, 20.73s/it]
Epoch 11 | KGC loss: 0.973113, DiffHEG loss 47.892069:   3%|▎         | 11/400 [04:08<2:14:22, 20.73s/it]
Epoch 11 | KGC loss: 0.973113, DiffHEG loss 47.892069:   3%|▎         | 12/400 [04:08<2:13:59, 20.72s/it]
Epoch 12 | KGC loss: 0.890760, DiffHEG loss 47.903541:   3%|▎         | 12/400 [04:29<2:13:59, 20.72s/it]
Epoch 12 | KGC loss: 0.890760, DiffHEG loss 47.903541:   3%|▎         | 13/400 [04:29<2:13:40, 20.72s/it]
Epoch 13 | KGC loss: 0.803371, DiffHEG loss 47.908720:   3%|▎         | 13/400 [04:50<2:13:40, 20.72s/it]
Epoch 13 | KGC loss: 0.803371, DiffHEG loss 47.908720:   4%|▎         | 14/400 [04:50<2:13:20, 20.73s/it]
Epoch 14 | KGC loss: 0.739298, DiffHEG loss 47.918272:   4%|▎         | 14/400 [05:11<2:13:20, 20.73s/it]
Epoch 14 | KGC loss: 0.739298, DiffHEG loss 47.918272:   4%|▍         | 15/400 [05:11<2:13:00, 20.73s/it]
Epoch 15 | KGC loss: 0.687663, DiffHEG loss 47.892653:   4%|▍         | 15/400 [05:31<2:13:00, 20.73s/it]
Epoch 15 | KGC loss: 0.687663, DiffHEG loss 47.892653:   4%|▍         | 16/400 [05:31<2:12:36, 20.72s/it]
Epoch 16 | KGC loss: 0.649845, DiffHEG loss 47.905712:   4%|▍         | 16/400 [05:52<2:12:36, 20.72s/it]
Epoch 16 | KGC loss: 0.649845, DiffHEG loss 47.905712:   4%|▍         | 17/400 [05:52<2:12:13, 20.71s/it]
Epoch 17 | KGC loss: 0.616593, DiffHEG loss 47.927463:   4%|▍         | 17/400 [06:13<2:12:13, 20.71s/it]
Epoch 17 | KGC loss: 0.616593, DiffHEG loss 47.927463:   4%|▍         | 18/400 [06:13<2:11:53, 20.72s/it]
Epoch 18 | KGC loss: 0.596937, DiffHEG loss 48.002758:   4%|▍         | 18/400 [06:34<2:11:53, 20.72s/it]
Epoch 18 | KGC loss: 0.596937, DiffHEG loss 48.002758:   5%|▍         | 19/400 [06:34<2:11:34, 20.72s/it]
Epoch 19 | KGC loss: 0.568670, DiffHEG loss 47.902381:   5%|▍         | 19/400 [06:54<2:11:34, 20.72s/it]
Epoch 19 | KGC loss: 0.568670, DiffHEG loss 47.902381:   5%|▌         | 20/400 [06:54<2:11:12, 20.72s/it]
Epoch 20 | KGC loss: 0.542573, DiffHEG loss 47.908180:   5%|▌         | 20/400 [07:15<2:11:12, 20.72s/it]
Epoch 20 | KGC loss: 0.542573, DiffHEG loss 47.908180:   5%|▌         | 21/400 [07:15<2:10:51, 20.72s/it]
Epoch 21 | KGC loss: 0.538151, DiffHEG loss 47.888866:   5%|▌         | 21/400 [07:36<2:10:51, 20.72s/it]
Epoch 21 | KGC loss: 0.538151, DiffHEG loss 47.888866:   6%|▌         | 22/400 [07:36<2:10:30, 20.72s/it]
Epoch 22 | KGC loss: 0.517615, DiffHEG loss 47.978699:   6%|▌         | 22/400 [07:56<2:10:30, 20.72s/it]
Epoch 22 | KGC loss: 0.517615, DiffHEG loss 47.978699:   6%|▌         | 23/400 [07:56<2:10:12, 20.72s/it]
Epoch 23 | KGC loss: 0.503031, DiffHEG loss 47.955372:   6%|▌         | 23/400 [08:17<2:10:12, 20.72s/it]
Epoch 23 | KGC loss: 0.503031, DiffHEG loss 47.955372:   6%|▌         | 24/400 [08:17<2:09:52, 20.72s/it]
Epoch 24 | KGC loss: 0.489712, DiffHEG loss 47.909544:   6%|▌         | 24/400 [08:38<2:09:52, 20.72s/it]
Epoch 24 | KGC loss: 0.489712, DiffHEG loss 47.909544:   6%|▋         | 25/400 [08:38<2:09:35, 20.74s/it]
Epoch 25 | KGC loss: 0.477917, DiffHEG loss 47.901294:   6%|▋         | 25/400 [08:59<2:09:35, 20.74s/it]
Epoch 25 | KGC loss: 0.477917, DiffHEG loss 47.901294:   6%|▋         | 26/400 [08:59<2:09:17, 20.74s/it]
Epoch 26 | KGC loss: 0.472576, DiffHEG loss 47.907145:   6%|▋         | 26/400 [09:19<2:09:17, 20.74s/it]
Epoch 26 | KGC loss: 0.472576, DiffHEG loss 47.907145:   7%|▋         | 27/400 [09:19<2:08:53, 20.73s/it]
Epoch 27 | KGC loss: 0.460810, DiffHEG loss 47.894694:   7%|▋         | 27/400 [09:40<2:08:53, 20.73s/it]
Epoch 27 | KGC loss: 0.460810, DiffHEG loss 47.894694:   7%|▋         | 28/400 [09:40<2:08:33, 20.74s/it]
Epoch 28 | KGC loss: 0.454869, DiffHEG loss 47.901292:   7%|▋         | 28/400 [10:01<2:08:33, 20.74s/it]
Epoch 28 | KGC loss: 0.454869, DiffHEG loss 47.901292:   7%|▋         | 29/400 [10:01<2:08:03, 20.71s/it]
Epoch 29 | KGC loss: 0.445830, DiffHEG loss 47.909090:   7%|▋         | 29/400 [10:21<2:08:03, 20.71s/it]
Epoch 29 | KGC loss: 0.445830, DiffHEG loss 47.909090:   8%|▊         | 30/400 [10:21<2:07:42, 20.71s/it]
Epoch 30 | KGC loss: 0.448103, DiffHEG loss 47.914583:   8%|▊         | 30/400 [10:42<2:07:42, 20.71s/it]
Epoch 30 | KGC loss: 0.448103, DiffHEG loss 47.914583:   8%|▊         | 31/400 [10:42<2:07:24, 20.72s/it]
Epoch 31 | KGC loss: 0.447516, DiffHEG loss 47.910533:   8%|▊         | 31/400 [11:03<2:07:24, 20.72s/it]
Epoch 31 | KGC loss: 0.447516, DiffHEG loss 47.910533:   8%|▊         | 32/400 [11:03<2:06:58, 20.70s/it]
Epoch 32 | KGC loss: 0.443081, DiffHEG loss 47.899109:   8%|▊         | 32/400 [11:24<2:06:58, 20.70s/it]
Epoch 32 | KGC loss: 0.443081, DiffHEG loss 47.899109:   8%|▊         | 33/400 [11:24<2:06:33, 20.69s/it]
Epoch 33 | KGC loss: 0.434353, DiffHEG loss 47.898996:   8%|▊         | 33/400 [11:44<2:06:33, 20.69s/it]
Epoch 33 | KGC loss: 0.434353, DiffHEG loss 47.898996:   8%|▊         | 34/400 [11:44<2:06:15, 20.70s/it]
Epoch 34 | KGC loss: 0.432374, DiffHEG loss 47.895672:   8%|▊         | 34/400 [12:05<2:06:15, 20.70s/it]
Epoch 34 | KGC loss: 0.432374, DiffHEG loss 47.895672:   9%|▉         | 35/400 [12:05<2:06:02, 20.72s/it]
Epoch 35 | KGC loss: 0.424657, DiffHEG loss 47.900453:   9%|▉         | 35/400 [12:26<2:06:02, 20.72s/it]
Epoch 35 | KGC loss: 0.424657, DiffHEG loss 47.900453:   9%|▉         | 36/400 [12:26<2:05:41, 20.72s/it]
Epoch 36 | KGC loss: 0.428784, DiffHEG loss 47.915049:   9%|▉         | 36/400 [12:46<2:05:41, 20.72s/it]
Epoch 36 | KGC loss: 0.428784, DiffHEG loss 47.915049:   9%|▉         | 37/400 [12:46<2:05:16, 20.71s/it]
Epoch 37 | KGC loss: 0.422936, DiffHEG loss 47.910229:   9%|▉         | 37/400 [13:07<2:05:16, 20.71s/it]
Epoch 37 | KGC loss: 0.422936, DiffHEG loss 47.910229:  10%|▉         | 38/400 [13:07<2:04:56, 20.71s/it]
Epoch 38 | KGC loss: 0.414020, DiffHEG loss 47.928390:  10%|▉         | 38/400 [13:28<2:04:56, 20.71s/it]
Epoch 38 | KGC loss: 0.414020, DiffHEG loss 47.928390:  10%|▉         | 39/400 [13:28<2:04:38, 20.72s/it]
Epoch 39 | KGC loss: 0.414552, DiffHEG loss 47.896574:  10%|▉         | 39/400 [13:49<2:04:38, 20.72s/it]
Epoch 39 | KGC loss: 0.414552, DiffHEG loss 47.896574:  10%|█         | 40/400 [13:49<2:04:21, 20.73s/it]
Epoch 40 | KGC loss: 0.425294, DiffHEG loss 48.105409:  10%|█         | 40/400 [14:09<2:04:21, 20.73s/it]
Epoch 40 | KGC loss: 0.425294, DiffHEG loss 48.105409:  10%|█         | 41/400 [14:09<2:04:02, 20.73s/it]
Epoch 41 | KGC loss: 0.421764, DiffHEG loss 47.990369:  10%|█         | 41/400 [14:30<2:04:02, 20.73s/it]
Epoch 41 | KGC loss: 0.421764, DiffHEG loss 47.990369:  10%|█         | 42/400 [14:30<2:03:40, 20.73s/it]
Epoch 42 | KGC loss: 0.418088, DiffHEG loss 47.948790:  10%|█         | 42/400 [14:51<2:03:40, 20.73s/it]
