log,kind,seed,mrr,hit1,hit3,hit10,missing_text_mrr,train_wall_time_sec,eval_wall_time_sec,gpu_max_allocated_mb,checkpoint_size_mb,mask_strategy,mask_path,retrieval_source,accepted_groups,fallback_groups,safe_delta,min_group_queries
AB_random_seed0.log,train_eval,0,0.3677365183830261,0.320315420627594,0.3954187035560608,0.4417949914932251,0.30664917883296783,3890.8921249751,49.900786051526666,10214.71337890625,147.56469249725342,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed0.pt,random_text_pool,,,,
AB_random_seed1.log,train_eval,1,0.3697516918182373,0.3236950635910034,0.3963574767112732,0.4419827163219452,0.3061655517311575,3886.75444579497,49.81825161539018,10214.71337890625,147.56469249725342,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed1.pt,random_text_pool,,,,
AB_random_seed2.log,train_eval,2,0.3689544200897217,0.32331955432891846,0.39410439133644104,0.44310927391052246,0.31119646293921993,3875.3944359291345,49.851727571338415,10214.71337890625,147.56469249725342,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed2.pt,random_text_pool,,,,
AB_seed0.log,train_eval,0,0.36778154969215393,0.3212542235851288,0.3927900791168213,0.44329702854156494,0.3056855375689278,3866.368783712387,48.50161476433277,10182.97265625,147.56444549560547,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed0.pt,entity_embedding_knn,,,,
AB_seed1.log,train_eval,1,0.3681240975856781,0.3220052719116211,0.39579421281814575,0.4408561885356903,0.3044114000149481,3857.1551358494908,48.458267621695995,10182.97265625,147.56444549560547,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed1.pt,entity_embedding_knn,,,,
AB_seed2.log,train_eval,2,0.36815017461776733,0.32331955432891846,0.3935411274433136,0.44123169779777527,0.30948171831092197,3857.233920801431,48.53526923805475,10182.97265625,147.56444549560547,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed2.pt,entity_embedding_knn,,,,
A_seed0.log,train_eval,0,0.3692452907562256,0.3220052719116211,0.39673301577568054,0.44310927391052246,0.30719470638356916,10101.185535481985,52.05527641699882,9210.5205078125,147.56441020965576,low_degree,/mnt/c/Users/15513/Desktop/实验/实验室4090上的文件/DHNS-main/masks/MKG-Y_low_degree_text30_seed0.pt,entity_embedding_knn,,,,
A_seed1.log,train_eval,1,0.3702532649040222,0.32425835728645325,0.39767178893089294,0.4427337646484375,0.30653376073948735,3554.554310169071,23.612423529848456,9206.138671875,147.56441020965576,low_degree,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed1.pt,entity_embedding_knn,,,,
A_seed2.log,train_eval,2,0.36903220415115356,0.3221930265426636,0.39673301577568054,0.44498685002326965,0.3113138778663473,3556.9777277186513,23.58936825580895,9206.138671875,147.56441020965576,low_degree,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed2.pt,entity_embedding_knn,,,,
hpsac_seed0.log,HPSAC,0,0.273351397453489,0.21010138941043935,0.3073601201652272,0.38884716485167103,0.16233939680430248,,496.7734637837857,,,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed0.pt,entity_embedding_knn,,,0.0002,30
hpsac_seed1.log,HPSAC,1,0.2974123384473024,0.23582425835523846,0.33214419827262487,0.40424333458505446,0.19490659519544618,,492.2249527014792,,,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed1.pt,entity_embedding_knn,,,0.0002,30
hpsac_seed2.log,HPSAC,2,0.2767074950692064,0.21329327825760422,0.31167855801727373,0.39091250469395417,0.17068418056221993,,493.33482348918915,,,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed2.pt,entity_embedding_knn,,,0.0002,30
retrieval_quality_seed0.log,train_eval,0,,,,,,,,,,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed0.pt,both,,,,
retrieval_quality_seed1.log,train_eval,1,,,,,,,,,,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed1.pt,both,,,,
retrieval_quality_seed2.log,train_eval,2,,,,,,,,,,random,/home/student04/my_data/DHNS-main/masks/MKG-Y_low_degree_text30_seed2.pt,both,,,,
