train_dhns_rotate.py:857: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:858: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=DB15K | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=legacy | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=False | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.5 | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 50.0000%
  applied_additional_missing_rate: 50.0000%
  available_text_before_injection: 12842
  additionally_masked_text_entities: 6421
Embedding missingness summary:
  num_entities: 12842
  missing_text_count: 6421 (50.0000%)
  missing_image_count: 0 (0.0000%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=39 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=legacy | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 376.139069, DiffHEG loss 264.912793:   0%|          | 0/400 [00:38<?, ?it/s]
Epoch 0 | KGC loss: 376.139069, DiffHEG loss 264.912793:   0%|          | 1/400 [00:38<4:15:54, 38.48s/it]
Epoch 1 | KGC loss: 34.432565, DiffHEG loss 187.146024:   0%|          | 1/400 [01:16<4:15:54, 38.48s/it] 
Epoch 1 | KGC loss: 34.432565, DiffHEG loss 187.146024:   0%|          | 2/400 [01:16<4:14:20, 38.34s/it]
Epoch 2 | KGC loss: 20.969051, DiffHEG loss 186.781002:   0%|          | 2/400 [01:54<4:14:20, 38.34s/it]
Epoch 2 | KGC loss: 20.969051, DiffHEG loss 186.781002:   1%|          | 3/400 [01:54<4:13:19, 38.29s/it]
Epoch 3 | KGC loss: 16.339637, DiffHEG loss 186.788639:   1%|          | 3/400 [02:33<4:13:19, 38.29s/it]
Epoch 3 | KGC loss: 16.339637, DiffHEG loss 186.788639:   1%|          | 4/400 [02:33<4:12:26, 38.25s/it]
Epoch 4 | KGC loss: 14.216308, DiffHEG loss 186.804732:   1%|          | 4/400 [03:11<4:12:26, 38.25s/it]
Epoch 4 | KGC loss: 14.216308, DiffHEG loss 186.804732:   1%|▏         | 5/400 [03:11<4:11:44, 38.24s/it]
Epoch 5 | KGC loss: 13.301988, DiffHEG loss 186.966813:   1%|▏         | 5/400 [03:49<4:11:44, 38.24s/it]
Epoch 5 | KGC loss: 13.301988, DiffHEG loss 186.966813:   2%|▏         | 6/400 [03:49<4:11:02, 38.23s/it]
Epoch 6 | KGC loss: 12.823898, DiffHEG loss 186.854318:   2%|▏         | 6/400 [04:27<4:11:02, 38.23s/it]
Epoch 6 | KGC loss: 12.823898, DiffHEG loss 186.854318:   2%|▏         | 7/400 [04:27<4:10:20, 38.22s/it]
Epoch 7 | KGC loss: 12.636568, DiffHEG loss 186.838624:   2%|▏         | 7/400 [05:05<4:10:20, 38.22s/it]
Epoch 7 | KGC loss: 12.636568, DiffHEG loss 186.838624:   2%|▏         | 8/400 [05:05<4:09:40, 38.21s/it]
Epoch 8 | KGC loss: 12.456242, DiffHEG loss 186.878485:   2%|▏         | 8/400 [05:44<4:09:40, 38.21s/it]
Epoch 8 | KGC loss: 12.456242, DiffHEG loss 186.878485:   2%|▏         | 9/400 [05:44<4:09:01, 38.21s/it]
Epoch 9 | KGC loss: 12.439088, DiffHEG loss 186.863729:   2%|▏         | 9/400 [06:22<4:09:01, 38.21s/it]
Epoch 9 | KGC loss: 12.439088, DiffHEG loss 186.863729:   2%|▎         | 10/400 [06:22<4:08:22, 38.21s/it]
Epoch 10 | KGC loss: 12.471243, DiffHEG loss 186.878520:   2%|▎         | 10/400 [07:00<4:08:22, 38.21s/it]
Epoch 10 | KGC loss: 12.471243, DiffHEG loss 186.878520:   3%|▎         | 11/400 [07:00<4:07:43, 38.21s/it]
Epoch 11 | KGC loss: 12.602723, DiffHEG loss 186.906406:   3%|▎         | 11/400 [07:38<4:07:43, 38.21s/it]
Epoch 11 | KGC loss: 12.602723, DiffHEG loss 186.906406:   3%|▎         | 12/400 [07:38<4:07:05, 38.21s/it]
Epoch 12 | KGC loss: 12.745534, DiffHEG loss 186.924448:   3%|▎         | 12/400 [08:17<4:07:05, 38.21s/it]
Epoch 12 | KGC loss: 12.745534, DiffHEG loss 186.924448:   3%|▎         | 13/400 [08:17<4:06:27, 38.21s/it]
Epoch 13 | KGC loss: 12.924681, DiffHEG loss 186.903475:   3%|▎         | 13/400 [08:55<4:06:27, 38.21s/it]
Epoch 13 | KGC loss: 12.924681, DiffHEG loss 186.903475:   4%|▎         | 14/400 [08:55<4:05:48, 38.21s/it]
Epoch 14 | KGC loss: 12.889976, DiffHEG loss 186.933558:   4%|▎         | 14/400 [09:33<4:05:48, 38.21s/it]
Epoch 14 | KGC loss: 12.889976, DiffHEG loss 186.933558:   4%|▍         | 15/400 [09:33<4:05:11, 38.21s/it]
Epoch 15 | KGC loss: 13.061906, DiffHEG loss 186.944239:   4%|▍         | 15/400 [10:11<4:05:11, 38.21s/it]
Epoch 15 | KGC loss: 13.061906, DiffHEG loss 186.944239:   4%|▍         | 16/400 [10:11<4:04:34, 38.22s/it]
Epoch 16 | KGC loss: 13.090419, DiffHEG loss 186.924648:   4%|▍         | 16/400 [10:49<4:04:34, 38.22s/it]
Epoch 16 | KGC loss: 13.090419, DiffHEG loss 186.924648:   4%|▍         | 17/400 [10:49<4:03:52, 38.21s/it]
Epoch 17 | KGC loss: 13.187217, DiffHEG loss 186.960586:   4%|▍         | 17/400 [11:28<4:03:52, 38.21s/it]
Epoch 17 | KGC loss: 13.187217, DiffHEG loss 186.960586:   4%|▍         | 18/400 [11:28<4:03:14, 38.21s/it]
Epoch 18 | KGC loss: 13.077204, DiffHEG loss 186.950405:   4%|▍         | 18/400 [12:06<4:03:14, 38.21s/it]
Epoch 18 | KGC loss: 13.077204, DiffHEG loss 186.950405:   5%|▍         | 19/400 [12:06<4:02:36, 38.21s/it]
Epoch 19 | KGC loss: 13.243841, DiffHEG loss 186.938326:   5%|▍         | 19/400 [12:44<4:02:36, 38.21s/it]
Epoch 19 | KGC loss: 13.243841, DiffHEG loss 186.938326:   5%|▌         | 20/400 [12:44<4:01:59, 38.21s/it]
Epoch 20 | KGC loss: 13.220933, DiffHEG loss 186.944816:   5%|▌         | 20/400 [13:22<4:01:59, 38.21s/it]
Epoch 20 | KGC loss: 13.220933, DiffHEG loss 186.944816:   5%|▌         | 21/400 [13:22<4:01:20, 38.21s/it]
Epoch 21 | KGC loss: 13.348354, DiffHEG loss 186.930525:   5%|▌         | 21/400 [14:00<4:01:20, 38.21s/it]
Epoch 21 | KGC loss: 13.348354, DiffHEG loss 186.930525:   6%|▌         | 22/400 [14:00<4:00:50, 38.23s/it]
Epoch 22 | KGC loss: 13.267388, DiffHEG loss 186.927210:   6%|▌         | 22/400 [14:39<4:00:50, 38.23s/it]
Epoch 22 | KGC loss: 13.267388, DiffHEG loss 186.927210:   6%|▌         | 23/400 [14:39<4:00:13, 38.23s/it]
Epoch 23 | KGC loss: 13.374106, DiffHEG loss 187.072553:   6%|▌         | 23/400 [15:17<4:00:13, 38.23s/it]
Epoch 23 | KGC loss: 13.374106, DiffHEG loss 187.072553:   6%|▌         | 24/400 [15:17<3:59:37, 38.24s/it]
Epoch 24 | KGC loss: 13.230669, DiffHEG loss 186.941915:   6%|▌         | 24/400 [15:55<3:59:37, 38.24s/it]
Epoch 24 | KGC loss: 13.230669, DiffHEG loss 186.941915:   6%|▋         | 25/400 [15:55<3:58:55, 38.23s/it]
Epoch 25 | KGC loss: 13.203657, DiffHEG loss 186.892600:   6%|▋         | 25/400 [16:33<3:58:55, 38.23s/it]
Epoch 25 | KGC loss: 13.203657, DiffHEG loss 186.892600:   6%|▋         | 26/400 [16:33<3:58:14, 38.22s/it]
Epoch 26 | KGC loss: 13.129556, DiffHEG loss 186.875988:   6%|▋         | 26/400 [17:12<3:58:14, 38.22s/it]
Epoch 26 | KGC loss: 13.129556, DiffHEG loss 186.875988:   7%|▋         | 27/400 [17:12<3:57:36, 38.22s/it]
Epoch 27 | KGC loss: 13.231008, DiffHEG loss 186.870420:   7%|▋         | 27/400 [17:50<3:57:36, 38.22s/it]
Epoch 27 | KGC loss: 13.231008, DiffHEG loss 186.870420:   7%|▋         | 28/400 [17:50<3:56:57, 38.22s/it]
Epoch 28 | KGC loss: 13.022840, DiffHEG loss 186.846298:   7%|▋         | 28/400 [18:28<3:56:57, 38.22s/it]
Epoch 28 | KGC loss: 13.022840, DiffHEG loss 186.846298:   7%|▋         | 29/400 [18:28<3:56:18, 38.22s/it]
Epoch 29 | KGC loss: 12.969266, DiffHEG loss 186.838796:   7%|▋         | 29/400 [19:06<3:56:18, 38.22s/it]
