method,seed,split,MRR,MR,Hit@10,Hit@3,Hit@1,checkpoint,log_file
rotate_baseline,0,Overall,0.3206987977027893,872.415283203125,0.4654890298843384,0.3676883578300476,0.23607861995697021,./checkpoint/phase1_mkgw/rotate_baseline_seed0.ckpt,results/phase1_mkgw/rotate_baseline_seed0.log
rotate_baseline,0,Head/Tail Missing Text,0.29693027056202703,1335.4174311926606,0.43425076452599387,0.3318042813455658,0.21712538226299694,./checkpoint/phase1_mkgw/rotate_baseline_seed0.ckpt,results/phase1_mkgw/rotate_baseline_seed0.log
rotate_baseline,0,Head/Tail Both Have Text,0.32266815653787806,834.0566252850266,0.46807702052191535,0.3706612617177603,0.23764884722574106,./checkpoint/phase1_mkgw/rotate_baseline_seed0.ckpt,results/phase1_mkgw/rotate_baseline_seed0.log
rotate_baseline,0,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,./checkpoint/phase1_mkgw/rotate_baseline_seed0.ckpt,results/phase1_mkgw/rotate_baseline_seed0.log
rotate_baseline,1,Overall,0.3179219961166382,887.10400390625,0.4643191695213318,0.36464670300483704,0.23315396904945374,./checkpoint/phase1_mkgw/rotate_baseline_seed1.ckpt,results/phase1_mkgw/rotate_baseline_seed1.log
rotate_baseline,1,Head/Tail Missing Text,0.2937479054932646,1377.7461773700306,0.43730886850152906,0.3256880733944954,0.21406727828746178,./checkpoint/phase1_mkgw/rotate_baseline_seed1.ckpt,results/phase1_mkgw/rotate_baseline_seed1.log
rotate_baseline,1,Head/Tail Both Have Text,0.31992540988074536,846.4554091715227,0.46655687864200657,0.36787433493792754,0.23473524195591589,./checkpoint/phase1_mkgw/rotate_baseline_seed1.ckpt,results/phase1_mkgw/rotate_baseline_seed1.log
rotate_baseline,1,Head/Tail Injected Missing Text,nan,nan,nan,nan,nan,./checkpoint/phase1_mkgw/rotate_baseline_seed1.ckpt,results/phase1_mkgw/rotate_baseline_seed1.log
rotate_baseline,2,Overall,0.3165055513381958,873.41650390625,0.4654890298843384,0.36499765515327454,0.22976134717464447,./checkpoint/phase1_mkgw/rotate_baseline_seed2.ckpt,results/phase1_mkgw/rotate_baseline_seed2.log
rotate_baseline,2,Head/Tail Missing Text,0.2893381339909426,1381.2538226299694,0.43577981651376146,0.327217125382263,0.21100917431192662,./checkpoint/phase1_mkgw/rotate_baseline_seed2.ckpt,results/phase1_mkgw/rotate_baseline_seed2.log
