train_dhns_rotate.py:735: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:736: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=0 | text_mode=legacy | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=False | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 2684 (17.8933%)
  missing_image_count: 756 (5.0400%)
Resolved text configuration | text_mode=legacy | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 271.050193, DiffHEG loss 88.979383:   0%|          | 0/400 [00:09<?, ?it/s]
Epoch 0 | KGC loss: 271.050193, DiffHEG loss 88.979383:   0%|          | 1/400 [00:09<1:00:26,  9.09s/it]
Epoch 1 | KGC loss: 12.940204, DiffHEG loss 59.479808:   0%|          | 1/400 [00:17<1:00:26,  9.09s/it] 
Epoch 1 | KGC loss: 12.940204, DiffHEG loss 59.479808:   0%|          | 2/400 [00:17<58:49,  8.87s/it]  
Epoch 2 | KGC loss: 6.180055, DiffHEG loss 50.356163:   0%|          | 2/400 [00:26<58:49,  8.87s/it] 
Epoch 2 | KGC loss: 6.180055, DiffHEG loss 50.356163:   1%|          | 3/400 [00:26<58:12,  8.80s/it]
Epoch 3 | KGC loss: 4.309374, DiffHEG loss 48.463770:   1%|          | 3/400 [00:35<58:12,  8.80s/it]
Epoch 3 | KGC loss: 4.309374, DiffHEG loss 48.463770:   1%|          | 4/400 [00:35<57:52,  8.77s/it]
Epoch 4 | KGC loss: 3.097698, DiffHEG loss 48.055498:   1%|          | 4/400 [00:43<57:52,  8.77s/it]
Epoch 4 | KGC loss: 3.097698, DiffHEG loss 48.055498:   1%|▏         | 5/400 [00:43<57:37,  8.75s/it]
Epoch 5 | KGC loss: 2.301810, DiffHEG loss 47.945275:   1%|▏         | 5/400 [00:52<57:37,  8.75s/it]
Epoch 5 | KGC loss: 2.301810, DiffHEG loss 47.945275:   2%|▏         | 6/400 [00:52<57:27,  8.75s/it]
Epoch 6 | KGC loss: 1.765100, DiffHEG loss 47.903931:   2%|▏         | 6/400 [01:01<57:27,  8.75s/it]
Epoch 6 | KGC loss: 1.765100, DiffHEG loss 47.903931:   2%|▏         | 7/400 [01:01<57:18,  8.75s/it]
Epoch 7 | KGC loss: 1.414517, DiffHEG loss 47.892941:   2%|▏         | 7/400 [01:10<57:18,  8.75s/it]
Epoch 7 | KGC loss: 1.414517, DiffHEG loss 47.892941:   2%|▏         | 8/400 [01:10<57:09,  8.75s/it]
Epoch 8 | KGC loss: 1.169059, DiffHEG loss 47.883593:   2%|▏         | 8/400 [01:18<57:09,  8.75s/it]
Epoch 8 | KGC loss: 1.169059, DiffHEG loss 47.883593:   2%|▏         | 9/400 [01:18<57:01,  8.75s/it]
Epoch 9 | KGC loss: 1.021514, DiffHEG loss 47.883008:   2%|▏         | 9/400 [01:27<57:01,  8.75s/it]
Epoch 9 | KGC loss: 1.021514, DiffHEG loss 47.883008:   2%|▎         | 10/400 [01:27<56:52,  8.75s/it]
Epoch 10 | KGC loss: 0.891320, DiffHEG loss 47.890467:   2%|▎         | 10/400 [01:36<56:52,  8.75s/it]
Epoch 10 | KGC loss: 0.891320, DiffHEG loss 47.890467:   3%|▎         | 11/400 [01:36<56:42,  8.75s/it]
Epoch 11 | KGC loss: 0.790461, DiffHEG loss 47.882159:   3%|▎         | 11/400 [01:45<56:42,  8.75s/it]
Epoch 11 | KGC loss: 0.790461, DiffHEG loss 47.882159:   3%|▎         | 12/400 [01:45<56:34,  8.75s/it]
Epoch 12 | KGC loss: 0.738324, DiffHEG loss 47.886804:   3%|▎         | 12/400 [01:53<56:34,  8.75s/it]
Epoch 12 | KGC loss: 0.738324, DiffHEG loss 47.886804:   3%|▎         | 13/400 [01:53<56:27,  8.75s/it]
Epoch 13 | KGC loss: 0.670096, DiffHEG loss 47.893439:   3%|▎         | 13/400 [02:02<56:27,  8.75s/it]
Epoch 13 | KGC loss: 0.670096, DiffHEG loss 47.893439:   4%|▎         | 14/400 [02:02<56:21,  8.76s/it]
Epoch 14 | KGC loss: 0.623026, DiffHEG loss 47.886450:   4%|▎         | 14/400 [02:11<56:21,  8.76s/it]
Epoch 14 | KGC loss: 0.623026, DiffHEG loss 47.886450:   4%|▍         | 15/400 [02:11<56:14,  8.77s/it]
Epoch 15 | KGC loss: 0.589775, DiffHEG loss 47.885093:   4%|▍         | 15/400 [02:20<56:14,  8.77s/it]
Epoch 15 | KGC loss: 0.589775, DiffHEG loss 47.885093:   4%|▍         | 16/400 [02:20<56:07,  8.77s/it]
Epoch 16 | KGC loss: 0.564280, DiffHEG loss 47.890579:   4%|▍         | 16/400 [02:29<56:07,  8.77s/it]
Epoch 16 | KGC loss: 0.564280, DiffHEG loss 47.890579:   4%|▍         | 17/400 [02:29<55:57,  8.77s/it]
Epoch 17 | KGC loss: 0.541239, DiffHEG loss 47.889019:   4%|▍         | 17/400 [02:37<55:57,  8.77s/it]
Epoch 17 | KGC loss: 0.541239, DiffHEG loss 47.889019:   4%|▍         | 18/400 [02:37<55:49,  8.77s/it]
Epoch 18 | KGC loss: 0.528102, DiffHEG loss 47.884446:   4%|▍         | 18/400 [02:46<55:49,  8.77s/it]
Epoch 18 | KGC loss: 0.528102, DiffHEG loss 47.884446:   5%|▍         | 19/400 [02:46<55:40,  8.77s/it]
Epoch 19 | KGC loss: 0.508495, DiffHEG loss 47.901067:   5%|▍         | 19/400 [02:55<55:40,  8.77s/it]
Epoch 19 | KGC loss: 0.508495, DiffHEG loss 47.901067:   5%|▌         | 20/400 [02:55<55:31,  8.77s/it]
Epoch 20 | KGC loss: 0.486781, DiffHEG loss 47.893832:   5%|▌         | 20/400 [03:04<55:31,  8.77s/it]
Epoch 20 | KGC loss: 0.486781, DiffHEG loss 47.893832:   5%|▌         | 21/400 [03:04<55:23,  8.77s/it]
Epoch 21 | KGC loss: 0.490351, DiffHEG loss 47.891053:   5%|▌         | 21/400 [03:12<55:23,  8.77s/it]
Epoch 21 | KGC loss: 0.490351, DiffHEG loss 47.891053:   6%|▌         | 22/400 [03:12<55:14,  8.77s/it]
Epoch 22 | KGC loss: 0.473922, DiffHEG loss 47.918324:   6%|▌         | 22/400 [03:21<55:14,  8.77s/it]
Epoch 22 | KGC loss: 0.473922, DiffHEG loss 47.918324:   6%|▌         | 23/400 [03:21<55:05,  8.77s/it]
Epoch 23 | KGC loss: 0.465857, DiffHEG loss 48.062837:   6%|▌         | 23/400 [03:30<55:05,  8.77s/it]
Epoch 23 | KGC loss: 0.465857, DiffHEG loss 48.062837:   6%|▌         | 24/400 [03:30<54:59,  8.78s/it]
Epoch 24 | KGC loss: 0.457958, DiffHEG loss 47.913862:   6%|▌         | 24/400 [03:39<54:59,  8.78s/it]
