train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/home/student04/my_data/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Experiment config | model=AdvMixRotatE | dataset=MKG-W | seed=1 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=legacy | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=False | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=random | text_missing_mask_path=masks/relation_dependent/MKG-W_relation_dependent_text30_seed1.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0021%
  available_text_before_injection: 14149
  additionally_masked_text_entities: 4245
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: a0545ea906a4c3cd7906cf2ad90c834956f548e3db8e9adb128b06a92036ff05
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 5096 (33.9733%)
  missing_image_count: 537 (3.5800%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=17 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=legacy | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 402.295042, DiffHEG loss 127.279602:   0%|          | 0/400 [00:15<?, ?it/s]
Epoch 0 | KGC loss: 402.295042, DiffHEG loss 127.279602:   0%|          | 1/400 [00:15<1:40:04, 15.05s/it]
Epoch 1 | KGC loss: 13.383744, DiffHEG loss 84.662066:   0%|          | 1/400 [00:29<1:40:04, 15.05s/it]  
Epoch 1 | KGC loss: 13.383744, DiffHEG loss 84.662066:   0%|          | 2/400 [00:29<1:38:57, 14.92s/it]
Epoch 2 | KGC loss: 7.743862, DiffHEG loss 81.838878:   0%|          | 2/400 [00:44<1:38:57, 14.92s/it] 
Epoch 2 | KGC loss: 7.743862, DiffHEG loss 81.838878:   1%|          | 3/400 [00:44<1:38:33, 14.90s/it]
Epoch 3 | KGC loss: 5.503985, DiffHEG loss 81.473715:   1%|          | 3/400 [00:59<1:38:33, 14.90s/it]
Epoch 3 | KGC loss: 5.503985, DiffHEG loss 81.473715:   1%|          | 4/400 [00:59<1:38:18, 14.89s/it]
Epoch 4 | KGC loss: 4.153277, DiffHEG loss 81.415691:   1%|          | 4/400 [01:14<1:38:18, 14.89s/it]
Epoch 4 | KGC loss: 4.153277, DiffHEG loss 81.415691:   1%|▏         | 5/400 [01:14<1:38:06, 14.90s/it]
Epoch 5 | KGC loss: 3.556968, DiffHEG loss 81.400919:   1%|▏         | 5/400 [01:29<1:38:06, 14.90s/it]
Epoch 5 | KGC loss: 3.556968, DiffHEG loss 81.400919:   2%|▏         | 6/400 [01:29<1:38:02, 14.93s/it]
Epoch 6 | KGC loss: 3.032890, DiffHEG loss 81.800325:   2%|▏         | 6/400 [01:44<1:38:02, 14.93s/it]
Epoch 6 | KGC loss: 3.032890, DiffHEG loss 81.800325:   2%|▏         | 7/400 [01:44<1:37:53, 14.95s/it]
Epoch 7 | KGC loss: 2.785657, DiffHEG loss 81.596812:   2%|▏         | 7/400 [01:59<1:37:53, 14.95s/it]
Epoch 7 | KGC loss: 2.785657, DiffHEG loss 81.596812:   2%|▏         | 8/400 [01:59<1:37:40, 14.95s/it]
Epoch 8 | KGC loss: 2.525365, DiffHEG loss 81.421426:   2%|▏         | 8/400 [02:14<1:37:40, 14.95s/it]
Epoch 8 | KGC loss: 2.525365, DiffHEG loss 81.421426:   2%|▏         | 9/400 [02:14<1:37:26, 14.95s/it]
Epoch 9 | KGC loss: 2.433172, DiffHEG loss 81.412735:   2%|▏         | 9/400 [02:29<1:37:26, 14.95s/it]
Epoch 9 | KGC loss: 2.433172, DiffHEG loss 81.412735:   2%|▎         | 10/400 [02:29<1:37:14, 14.96s/it]
Epoch 10 | KGC loss: 2.270411, DiffHEG loss 81.427136:   2%|▎         | 10/400 [02:44<1:37:14, 14.96s/it]
Epoch 10 | KGC loss: 2.270411, DiffHEG loss 81.427136:   3%|▎         | 11/400 [02:44<1:37:02, 14.97s/it]
Epoch 11 | KGC loss: 2.246059, DiffHEG loss 81.560409:   3%|▎         | 11/400 [02:59<1:37:02, 14.97s/it]
Epoch 11 | KGC loss: 2.246059, DiffHEG loss 81.560409:   3%|▎         | 12/400 [02:59<1:36:50, 14.97s/it]
Epoch 12 | KGC loss: 2.117366, DiffHEG loss 81.418911:   3%|▎         | 12/400 [03:14<1:36:50, 14.97s/it]
Epoch 12 | KGC loss: 2.117366, DiffHEG loss 81.418911:   3%|▎         | 13/400 [03:14<1:36:35, 14.97s/it]
Epoch 13 | KGC loss: 2.126015, DiffHEG loss 81.400836:   3%|▎         | 13/400 [03:29<1:36:35, 14.97s/it]
Epoch 13 | KGC loss: 2.126015, DiffHEG loss 81.400836:   4%|▎         | 14/400 [03:29<1:36:20, 14.98s/it]
Epoch 14 | KGC loss: 2.030522, DiffHEG loss 81.411907:   4%|▎         | 14/400 [03:44<1:36:20, 14.98s/it]
Epoch 14 | KGC loss: 2.030522, DiffHEG loss 81.411907:   4%|▍         | 15/400 [03:44<1:36:05, 14.98s/it]
Epoch 15 | KGC loss: 2.062624, DiffHEG loss 81.399041:   4%|▍         | 15/400 [03:59<1:36:05, 14.98s/it]
Epoch 15 | KGC loss: 2.062624, DiffHEG loss 81.399041:   4%|▍         | 16/400 [03:59<1:35:55, 14.99s/it]
Epoch 16 | KGC loss: 1.976168, DiffHEG loss 81.400190:   4%|▍         | 16/400 [04:14<1:35:55, 14.99s/it]
Epoch 16 | KGC loss: 1.976168, DiffHEG loss 81.400190:   4%|▍         | 17/400 [04:14<1:35:42, 14.99s/it]
Epoch 17 | KGC loss: 2.016612, DiffHEG loss 82.008482:   4%|▍         | 17/400 [04:29<1:35:42, 14.99s/it]
Epoch 17 | KGC loss: 2.016612, DiffHEG loss 82.008482:   4%|▍         | 18/400 [04:29<1:35:24, 14.99s/it]
Epoch 18 | KGC loss: 1.940127, DiffHEG loss 82.567747:   4%|▍         | 18/400 [04:44<1:35:24, 14.99s/it]
Epoch 18 | KGC loss: 1.940127, DiffHEG loss 82.567747:   5%|▍         | 19/400 [04:44<1:35:07, 14.98s/it]
Epoch 19 | KGC loss: 1.967044, DiffHEG loss 82.618685:   5%|▍         | 19/400 [04:59<1:35:07, 14.98s/it]
Epoch 19 | KGC loss: 1.967044, DiffHEG loss 82.618685:   5%|▌         | 20/400 [04:59<1:34:50, 14.97s/it]
Epoch 20 | KGC loss: 1.900957, DiffHEG loss 81.708477:   5%|▌         | 20/400 [05:14<1:34:50, 14.97s/it]
Epoch 20 | KGC loss: 1.900957, DiffHEG loss 81.708477:   5%|▌         | 21/400 [05:14<1:34:33, 14.97s/it]
Epoch 21 | KGC loss: 1.944722, DiffHEG loss 81.445699:   5%|▌         | 21/400 [05:29<1:34:33, 14.97s/it]
Epoch 21 | KGC loss: 1.944722, DiffHEG loss 81.445699:   6%|▌         | 22/400 [05:29<1:34:14, 14.96s/it]
Epoch 22 | KGC loss: 1.884134, DiffHEG loss 81.416148:   6%|▌         | 22/400 [05:44<1:34:14, 14.96s/it]
Epoch 22 | KGC loss: 1.884134, DiffHEG loss 81.416148:   6%|▌         | 23/400 [05:44<1:33:55, 14.95s/it]
Epoch 23 | KGC loss: 1.932737, DiffHEG loss 81.409422:   6%|▌         | 23/400 [05:58<1:33:55, 14.95s/it]
Epoch 23 | KGC loss: 1.932737, DiffHEG loss 81.409422:   6%|▌         | 24/400 [05:58<1:33:38, 14.94s/it]
Epoch 24 | KGC loss: 1.866949, DiffHEG loss 81.426270:   6%|▌         | 24/400 [06:13<1:33:38, 14.94s/it]
Epoch 24 | KGC loss: 1.866949, DiffHEG loss 81.426270:   6%|▋         | 25/400 [06:13<1:33:27, 14.95s/it]
Epoch 25 | KGC loss: 1.914319, DiffHEG loss 81.412169:   6%|▋         | 25/400 [06:28<1:33:27, 14.95s/it]
Epoch 25 | KGC loss: 1.914319, DiffHEG loss 81.412169:   6%|▋         | 26/400 [06:28<1:33:11, 14.95s/it]
Epoch 26 | KGC loss: 1.877806, DiffHEG loss 81.428227:   6%|▋         | 26/400 [06:43<1:33:11, 14.95s/it]
Epoch 26 | KGC loss: 1.877806, DiffHEG loss 81.428227:   7%|▋         | 27/400 [06:43<1:32:53, 14.94s/it]
Epoch 27 | KGC loss: 1.921571, DiffHEG loss 81.423482:   7%|▋         | 27/400 [06:58<1:32:53, 14.94s/it]
Epoch 27 | KGC loss: 1.921571, DiffHEG loss 81.423482:   7%|▋         | 28/400 [06:58<1:32:36, 14.94s/it]
Epoch 28 | KGC loss: 1.862018, DiffHEG loss 81.426025:   7%|▋         | 28/400 [07:13<1:32:36, 14.94s/it]
Epoch 28 | KGC loss: 1.862018, DiffHEG loss 81.426025:   7%|▋         | 29/400 [07:13<1:32:22, 14.94s/it]
Epoch 29 | KGC loss: 1.898429, DiffHEG loss 81.418382:   7%|▋         | 29/400 [07:28<1:32:22, 14.94s/it]
Epoch 29 | KGC loss: 1.898429, DiffHEG loss 81.418382:   8%|▊         | 30/400 [07:28<1:32:05, 14.93s/it]
Epoch 30 | KGC loss: 1.849250, DiffHEG loss 81.419208:   8%|▊         | 30/400 [07:43<1:32:05, 14.93s/it]
Epoch 30 | KGC loss: 1.849250, DiffHEG loss 81.419208:   8%|▊         | 31/400 [07:43<1:31:50, 14.93s/it]
Epoch 31 | KGC loss: 1.901139, DiffHEG loss 81.421202:   8%|▊         | 31/400 [07:58<1:31:50, 14.93s/it]
Epoch 31 | KGC loss: 1.901139, DiffHEG loss 81.421202:   8%|▊         | 32/400 [07:58<1:31:34, 14.93s/it]
Epoch 32 | KGC loss: 1.868025, DiffHEG loss 81.431444:   8%|▊         | 32/400 [08:13<1:31:34, 14.93s/it]
Epoch 32 | KGC loss: 1.868025, DiffHEG loss 81.431444:   8%|▊         | 33/400 [08:13<1:31:17, 14.92s/it]
Epoch 33 | KGC loss: 1.908111, DiffHEG loss 81.424861:   8%|▊         | 33/400 [08:28<1:31:17, 14.92s/it]
Epoch 33 | KGC loss: 1.908111, DiffHEG loss 81.424861:   8%|▊         | 34/400 [08:28<1:31:04, 14.93s/it]
Epoch 34 | KGC loss: 1.861332, DiffHEG loss 81.424235:   8%|▊         | 34/400 [08:43<1:31:04, 14.93s/it]
Epoch 34 | KGC loss: 1.861332, DiffHEG loss 81.424235:   9%|▉         | 35/400 [08:43<1:30:49, 14.93s/it]
Epoch 35 | KGC loss: 1.903773, DiffHEG loss 81.429178:   9%|▉         | 35/400 [08:58<1:30:49, 14.93s/it]
Epoch 35 | KGC loss: 1.903773, DiffHEG loss 81.429178:   9%|▉         | 36/400 [08:58<1:30:34, 14.93s/it]
Epoch 36 | KGC loss: 1.843116, DiffHEG loss 81.420526:   9%|▉         | 36/400 [09:13<1:30:34, 14.93s/it]
Epoch 36 | KGC loss: 1.843116, DiffHEG loss 81.420526:   9%|▉         | 37/400 [09:13<1:30:17, 14.92s/it]
Epoch 37 | KGC loss: 1.863578, DiffHEG loss 81.424318:   9%|▉         | 37/400 [09:28<1:30:17, 14.92s/it]
Epoch 37 | KGC loss: 1.863578, DiffHEG loss 81.424318:  10%|▉         | 38/400 [09:28<1:30:03, 14.93s/it]
Epoch 38 | KGC loss: 1.821500, DiffHEG loss 81.424641:  10%|▉         | 38/400 [09:42<1:30:03, 14.93s/it]
Epoch 38 | KGC loss: 1.821500, DiffHEG loss 81.424641:  10%|▉         | 39/400 [09:42<1:29:50, 14.93s/it]
Epoch 39 | KGC loss: 1.869660, DiffHEG loss 81.421455:  10%|▉         | 39/400 [09:57<1:29:50, 14.93s/it]
Epoch 39 | KGC loss: 1.869660, DiffHEG loss 81.421455:  10%|█         | 40/400 [09:57<1:29:36, 14.93s/it]
Epoch 40 | KGC loss: 1.858278, DiffHEG loss 81.439028:  10%|█         | 40/400 [10:12<1:29:36, 14.93s/it]
Epoch 40 | KGC loss: 1.858278, DiffHEG loss 81.439028:  10%|█         | 41/400 [10:12<1:29:23, 14.94s/it]
Epoch 41 | KGC loss: 1.877794, DiffHEG loss 81.444059:  10%|█         | 41/400 [10:27<1:29:23, 14.94s/it]
Epoch 41 | KGC loss: 1.877794, DiffHEG loss 81.444059:  10%|█         | 42/400 [10:27<1:29:09, 14.94s/it]
Epoch 42 | KGC loss: 1.823631, DiffHEG loss 81.430737:  10%|█         | 42/400 [10:42<1:29:09, 14.94s/it]
Epoch 42 | KGC loss: 1.823631, DiffHEG loss 81.430737:  11%|█         | 43/400 [10:42<1:28:53, 14.94s/it]
Epoch 43 | KGC loss: 1.865358, DiffHEG loss 81.427801:  11%|█         | 43/400 [10:57<1:28:53, 14.94s/it]
Epoch 43 | KGC loss: 1.865358, DiffHEG loss 81.427801:  11%|█         | 44/400 [10:57<1:28:36, 14.94s/it]
Epoch 44 | KGC loss: 1.818027, DiffHEG loss 81.429828:  11%|█         | 44/400 [11:12<1:28:36, 14.94s/it]
Epoch 44 | KGC loss: 1.818027, DiffHEG loss 81.429828:  11%|█▏        | 45/400 [11:12<1:28:21, 14.93s/it]
Epoch 45 | KGC loss: 1.858222, DiffHEG loss 81.438604:  11%|█▏        | 45/400 [11:27<1:28:21, 14.93s/it]
Epoch 45 | KGC loss: 1.858222, DiffHEG loss 81.438604:  12%|█▏        | 46/400 [11:27<1:28:06, 14.93s/it]
Epoch 46 | KGC loss: 1.836597, DiffHEG loss 81.429048:  12%|█▏        | 46/400 [11:42<1:28:06, 14.93s/it]
Epoch 46 | KGC loss: 1.836597, DiffHEG loss 81.429048:  12%|█▏        | 47/400 [11:42<1:27:53, 14.94s/it]
Epoch 47 | KGC loss: 1.875863, DiffHEG loss 81.423354:  12%|█▏        | 47/400 [11:57<1:27:53, 14.94s/it]
Epoch 47 | KGC loss: 1.875863, DiffHEG loss 81.423354:  12%|█▏        | 48/400 [11:57<1:27:38, 14.94s/it]
Epoch 48 | KGC loss: 1.845961, DiffHEG loss 81.429106:  12%|█▏        | 48/400 [12:12<1:27:38, 14.94s/it]
Epoch 48 | KGC loss: 1.845961, DiffHEG loss 81.429106:  12%|█▏        | 49/400 [12:12<1:27:25, 14.94s/it]
Epoch 49 | KGC loss: 1.882274, DiffHEG loss 81.423527:  12%|█▏        | 49/400 [12:27<1:27:25, 14.94s/it]
Epoch 49 | KGC loss: 1.882274, DiffHEG loss 81.423527:  12%|█▎        | 50/400 [12:27<1:27:08, 14.94s/it]
Epoch 50 | KGC loss: 1.834236, DiffHEG loss 81.437829:  12%|█▎        | 50/400 [12:42<1:27:08, 14.94s/it]
Epoch 50 | KGC loss: 1.834236, DiffHEG loss 81.437829:  13%|█▎        | 51/400 [12:42<1:26:55, 14.94s/it]
Epoch 51 | KGC loss: 1.867150, DiffHEG loss 81.427811:  13%|█▎        | 51/400 [12:57<1:26:55, 14.94s/it]
Epoch 51 | KGC loss: 1.867150, DiffHEG loss 81.427811:  13%|█▎        | 52/400 [12:57<1:26:40, 14.95s/it]
Epoch 52 | KGC loss: 1.822561, DiffHEG loss 81.421645:  13%|█▎        | 52/400 [13:12<1:26:40, 14.95s/it]
Epoch 52 | KGC loss: 1.822561, DiffHEG loss 81.421645:  13%|█▎        | 53/400 [13:12<1:26:23, 14.94s/it]
Epoch 53 | KGC loss: 1.879439, DiffHEG loss 81.431826:  13%|█▎        | 53/400 [13:27<1:26:23, 14.94s/it]
Epoch 53 | KGC loss: 1.879439, DiffHEG loss 81.431826:  14%|█▎        | 54/400 [13:27<1:26:10, 14.94s/it]
Epoch 54 | KGC loss: 1.847785, DiffHEG loss 81.431937:  14%|█▎        | 54/400 [13:42<1:26:10, 14.94s/it]
Epoch 54 | KGC loss: 1.847785, DiffHEG loss 81.431937:  14%|█▍        | 55/400 [13:42<1:25:56, 14.95s/it]
Epoch 55 | KGC loss: 1.868645, DiffHEG loss 81.423906:  14%|█▍        | 55/400 [13:56<1:25:56, 14.95s/it]
Epoch 55 | KGC loss: 1.868645, DiffHEG loss 81.423906:  14%|█▍        | 56/400 [13:56<1:25:43, 14.95s/it]
Epoch 56 | KGC loss: 1.855745, DiffHEG loss 81.415944:  14%|█▍        | 56/400 [14:11<1:25:43, 14.95s/it]
Epoch 56 | KGC loss: 1.855745, DiffHEG loss 81.415944:  14%|█▍        | 57/400 [14:11<1:25:27, 14.95s/it]
Epoch 57 | KGC loss: 1.891447, DiffHEG loss 81.423724:  14%|█▍        | 57/400 [14:26<1:25:27, 14.95s/it]
Epoch 57 | KGC loss: 1.891447, DiffHEG loss 81.423724:  14%|█▍        | 58/400 [14:26<1:25:11, 14.95s/it]
Epoch 58 | KGC loss: 1.845253, DiffHEG loss 81.431742:  14%|█▍        | 58/400 [14:41<1:25:11, 14.95s/it]
Epoch 58 | KGC loss: 1.845253, DiffHEG loss 81.431742:  15%|█▍        | 59/400 [14:41<1:24:54, 14.94s/it]
Epoch 59 | KGC loss: 1.866400, DiffHEG loss 81.423351:  15%|█▍        | 59/400 [14:56<1:24:54, 14.94s/it]
Epoch 59 | KGC loss: 1.866400, DiffHEG loss 81.423351:  15%|█▌        | 60/400 [14:56<1:24:37, 14.93s/it]
Epoch 60 | KGC loss: 1.808674, DiffHEG loss 81.415537:  15%|█▌        | 60/400 [15:11<1:24:37, 14.93s/it]
Epoch 60 | KGC loss: 1.808674, DiffHEG loss 81.415537:  15%|█▌        | 61/400 [15:11<1:24:23, 14.94s/it]
Epoch 61 | KGC loss: 1.843213, DiffHEG loss 81.421127:  15%|█▌        | 61/400 [15:26<1:24:23, 14.94s/it]
Epoch 61 | KGC loss: 1.843213, DiffHEG loss 81.421127:  16%|█▌        | 62/400 [15:26<1:24:07, 14.93s/it]
Epoch 62 | KGC loss: 1.802570, DiffHEG loss 81.420831:  16%|█▌        | 62/400 [15:41<1:24:07, 14.93s/it]
Epoch 62 | KGC loss: 1.802570, DiffHEG loss 81.420831:  16%|█▌        | 63/400 [15:41<1:23:53, 14.94s/it]
Epoch 63 | KGC loss: 1.835738, DiffHEG loss 81.414530:  16%|█▌        | 63/400 [15:56<1:23:53, 14.94s/it]
Epoch 63 | KGC loss: 1.835738, DiffHEG loss 81.414530:  16%|█▌        | 64/400 [15:56<1:23:37, 14.93s/it]
Epoch 64 | KGC loss: 1.778880, DiffHEG loss 81.420022:  16%|█▌        | 64/400 [16:11<1:23:37, 14.93s/it]
Epoch 64 | KGC loss: 1.778880, DiffHEG loss 81.420022:  16%|█▋        | 65/400 [16:11<1:23:25, 14.94s/it]
Epoch 65 | KGC loss: 1.820572, DiffHEG loss 81.424382:  16%|█▋        | 65/400 [16:26<1:23:25, 14.94s/it]
Epoch 65 | KGC loss: 1.820572, DiffHEG loss 81.424382:  16%|█▋        | 66/400 [16:26<1:23:07, 14.93s/it]
Epoch 66 | KGC loss: 1.806188, DiffHEG loss 81.408485:  16%|█▋        | 66/400 [16:41<1:23:07, 14.93s/it]
Epoch 66 | KGC loss: 1.806188, DiffHEG loss 81.408485:  17%|█▋        | 67/400 [16:41<1:22:52, 14.93s/it]
Epoch 67 | KGC loss: 1.818386, DiffHEG loss 81.412354:  17%|█▋        | 67/400 [16:56<1:22:52, 14.93s/it]
Epoch 67 | KGC loss: 1.818386, DiffHEG loss 81.412354:  17%|█▋        | 68/400 [16:56<1:22:36, 14.93s/it]
Epoch 68 | KGC loss: 1.794323, DiffHEG loss 81.422760:  17%|█▋        | 68/400 [17:11<1:22:36, 14.93s/it]
Epoch 68 | KGC loss: 1.794323, DiffHEG loss 81.422760:  17%|█▋        | 69/400 [17:11<1:22:21, 14.93s/it]
Epoch 69 | KGC loss: 1.818568, DiffHEG loss 81.425088:  17%|█▋        | 69/400 [17:26<1:22:21, 14.93s/it]
Epoch 69 | KGC loss: 1.818568, DiffHEG loss 81.425088:  18%|█▊        | 70/400 [17:26<1:22:05, 14.93s/it]
Epoch 70 | KGC loss: 1.780199, DiffHEG loss 81.413907:  18%|█▊        | 70/400 [17:40<1:22:05, 14.93s/it]
Epoch 70 | KGC loss: 1.780199, DiffHEG loss 81.413907:  18%|█▊        | 71/400 [17:40<1:21:53, 14.94s/it]
Epoch 71 | KGC loss: 1.818706, DiffHEG loss 81.421475:  18%|█▊        | 71/400 [17:55<1:21:53, 14.94s/it]
Epoch 71 | KGC loss: 1.818706, DiffHEG loss 81.421475:  18%|█▊        | 72/400 [17:55<1:21:38, 14.94s/it]
Epoch 72 | KGC loss: 1.766431, DiffHEG loss 81.422372:  18%|█▊        | 72/400 [18:10<1:21:38, 14.94s/it]
Epoch 72 | KGC loss: 1.766431, DiffHEG loss 81.422372:  18%|█▊        | 73/400 [18:10<1:21:24, 14.94s/it]
Epoch 73 | KGC loss: 1.807968, DiffHEG loss 81.411018:  18%|█▊        | 73/400 [18:25<1:21:24, 14.94s/it]
Epoch 73 | KGC loss: 1.807968, DiffHEG loss 81.411018:  18%|█▊        | 74/400 [18:25<1:21:11, 14.94s/it]
Epoch 74 | KGC loss: 1.759495, DiffHEG loss 81.407885:  18%|█▊        | 74/400 [18:40<1:21:11, 14.94s/it]
Epoch 74 | KGC loss: 1.759495, DiffHEG loss 81.407885:  19%|█▉        | 75/400 [18:40<1:20:54, 14.94s/it]
Epoch 75 | KGC loss: 1.785700, DiffHEG loss 81.413388:  19%|█▉        | 75/400 [18:55<1:20:54, 14.94s/it]
Epoch 75 | KGC loss: 1.785700, DiffHEG loss 81.413388:  19%|█▉        | 76/400 [18:55<1:20:40, 14.94s/it]
Epoch 76 | KGC loss: 1.743524, DiffHEG loss 81.420346:  19%|█▉        | 76/400 [19:10<1:20:40, 14.94s/it]
Epoch 76 | KGC loss: 1.743524, DiffHEG loss 81.420346:  19%|█▉        | 77/400 [19:10<1:20:25, 14.94s/it]
Epoch 77 | KGC loss: 1.810146, DiffHEG loss 81.402640:  19%|█▉        | 77/400 [19:25<1:20:25, 14.94s/it]
Epoch 77 | KGC loss: 1.810146, DiffHEG loss 81.402640:  20%|█▉        | 78/400 [19:25<1:20:12, 14.95s/it]
Epoch 78 | KGC loss: 1.769783, DiffHEG loss 81.411218:  20%|█▉        | 78/400 [19:40<1:20:12, 14.95s/it]
Epoch 78 | KGC loss: 1.769783, DiffHEG loss 81.411218:  20%|█▉        | 79/400 [19:40<1:20:01, 14.96s/it]
Epoch 79 | KGC loss: 1.805585, DiffHEG loss 81.403241:  20%|█▉        | 79/400 [19:55<1:20:01, 14.96s/it]
Epoch 79 | KGC loss: 1.805585, DiffHEG loss 81.403241:  20%|██        | 80/400 [19:55<1:19:43, 14.95s/it]
