train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/home/student04/my_data/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Experiment config | model=AdvMixRotatE | dataset=MKG-W | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=random | text_missing_mask_path=masks/relation_dependent/MKG-W_relation_dependent_text30_seed0.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=True | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=0.25 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0021%
  available_text_before_injection: 14149
  additionally_masked_text_entities: 4245
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: f2002027a258b7c437789acaa9bfc1ab0f7809c2b37ff0ab81112fba7b103e16
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 5096 (33.9733%)
  missing_image_count: 537 (3.5800%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=17 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 378.602735, DiffHEG loss 128.537505:   0%|          | 0/400 [00:16<?, ?it/s]
Epoch 0 | KGC loss: 378.602735, DiffHEG loss 128.537505:   0%|          | 1/400 [00:16<1:51:25, 16.76s/it]
Epoch 1 | KGC loss: 12.779258, DiffHEG loss 84.038896:   0%|          | 1/400 [00:33<1:51:25, 16.76s/it]  
Epoch 1 | KGC loss: 12.779258, DiffHEG loss 84.038896:   0%|          | 2/400 [00:33<1:49:56, 16.57s/it]
Epoch 2 | KGC loss: 8.011998, DiffHEG loss 81.798988:   0%|          | 2/400 [00:49<1:49:56, 16.57s/it] 
Epoch 2 | KGC loss: 8.011998, DiffHEG loss 81.798988:   1%|          | 3/400 [00:49<1:49:13, 16.51s/it]
Epoch 3 | KGC loss: 5.748234, DiffHEG loss 81.481403:   1%|          | 3/400 [01:06<1:49:13, 16.51s/it]
Epoch 3 | KGC loss: 5.748234, DiffHEG loss 81.481403:   1%|          | 4/400 [01:06<1:48:48, 16.49s/it]
Epoch 4 | KGC loss: 4.370351, DiffHEG loss 81.900124:   1%|          | 4/400 [01:22<1:48:48, 16.49s/it]
Epoch 4 | KGC loss: 4.370351, DiffHEG loss 81.900124:   1%|▏         | 5/400 [01:22<1:48:25, 16.47s/it]
Epoch 5 | KGC loss: 3.749776, DiffHEG loss 81.497216:   1%|▏         | 5/400 [01:38<1:48:25, 16.47s/it]
Epoch 5 | KGC loss: 3.749776, DiffHEG loss 81.497216:   2%|▏         | 6/400 [01:38<1:48:07, 16.47s/it]
Epoch 6 | KGC loss: 3.169946, DiffHEG loss 81.972280:   2%|▏         | 6/400 [01:55<1:48:07, 16.47s/it]
Epoch 6 | KGC loss: 3.169946, DiffHEG loss 81.972280:   2%|▏         | 7/400 [01:55<1:47:49, 16.46s/it]
Epoch 7 | KGC loss: 2.897609, DiffHEG loss 81.484725:   2%|▏         | 7/400 [02:11<1:47:49, 16.46s/it]
Epoch 7 | KGC loss: 2.897609, DiffHEG loss 81.484725:   2%|▏         | 8/400 [02:11<1:47:30, 16.45s/it]
Epoch 8 | KGC loss: 2.610685, DiffHEG loss 81.430880:   2%|▏         | 8/400 [02:28<1:47:30, 16.45s/it]
Epoch 8 | KGC loss: 2.610685, DiffHEG loss 81.430880:   2%|▏         | 9/400 [02:28<1:47:17, 16.46s/it]
Epoch 9 | KGC loss: 2.503532, DiffHEG loss 81.429269:   2%|▏         | 9/400 [02:44<1:47:17, 16.46s/it]
Epoch 9 | KGC loss: 2.503532, DiffHEG loss 81.429269:   2%|▎         | 10/400 [02:44<1:47:01, 16.46s/it]
Epoch 10 | KGC loss: 2.325005, DiffHEG loss 81.506814:   2%|▎         | 10/400 [03:01<1:47:01, 16.46s/it]
Epoch 10 | KGC loss: 2.325005, DiffHEG loss 81.506814:   3%|▎         | 11/400 [03:01<1:46:43, 16.46s/it]
Epoch 11 | KGC loss: 2.281555, DiffHEG loss 81.450116:   3%|▎         | 11/400 [03:17<1:46:43, 16.46s/it]
Epoch 11 | KGC loss: 2.281555, DiffHEG loss 81.450116:   3%|▎         | 12/400 [03:17<1:46:25, 16.46s/it]
Epoch 12 | KGC loss: 2.142978, DiffHEG loss 81.429245:   3%|▎         | 12/400 [03:34<1:46:25, 16.46s/it]
Epoch 12 | KGC loss: 2.142978, DiffHEG loss 81.429245:   3%|▎         | 13/400 [03:34<1:46:14, 16.47s/it]
Epoch 13 | KGC loss: 2.143187, DiffHEG loss 81.432581:   3%|▎         | 13/400 [03:50<1:46:14, 16.47s/it]
Epoch 13 | KGC loss: 2.143187, DiffHEG loss 81.432581:   4%|▎         | 14/400 [03:50<1:46:00, 16.48s/it]
Epoch 14 | KGC loss: 2.037010, DiffHEG loss 81.440552:   4%|▎         | 14/400 [04:07<1:46:00, 16.48s/it]
Epoch 14 | KGC loss: 2.037010, DiffHEG loss 81.440552:   4%|▍         | 15/400 [04:07<1:45:41, 16.47s/it]
Epoch 15 | KGC loss: 2.065012, DiffHEG loss 81.442196:   4%|▍         | 15/400 [04:23<1:45:41, 16.47s/it]
Epoch 15 | KGC loss: 2.065012, DiffHEG loss 81.442196:   4%|▍         | 16/400 [04:23<1:45:26, 16.48s/it]
Epoch 16 | KGC loss: 1.971423, DiffHEG loss 81.438687:   4%|▍         | 16/400 [04:40<1:45:26, 16.48s/it]
Epoch 16 | KGC loss: 1.971423, DiffHEG loss 81.438687:   4%|▍         | 17/400 [04:40<1:45:09, 16.47s/it]
Epoch 17 | KGC loss: 2.008417, DiffHEG loss 81.501251:   4%|▍         | 17/400 [04:56<1:45:09, 16.47s/it]
Epoch 17 | KGC loss: 2.008417, DiffHEG loss 81.501251:   4%|▍         | 18/400 [04:56<1:44:52, 16.47s/it]
Epoch 18 | KGC loss: 1.936112, DiffHEG loss 81.446817:   4%|▍         | 18/400 [05:13<1:44:52, 16.47s/it]
Epoch 18 | KGC loss: 1.936112, DiffHEG loss 81.446817:   5%|▍         | 19/400 [05:13<1:44:35, 16.47s/it]
Epoch 19 | KGC loss: 1.954381, DiffHEG loss 81.447370:   5%|▍         | 19/400 [05:29<1:44:35, 16.47s/it]
Epoch 19 | KGC loss: 1.954381, DiffHEG loss 81.447370:   5%|▌         | 20/400 [05:29<1:44:19, 16.47s/it]
Epoch 20 | KGC loss: 1.884211, DiffHEG loss 81.443062:   5%|▌         | 20/400 [05:46<1:44:19, 16.47s/it]
Epoch 20 | KGC loss: 1.884211, DiffHEG loss 81.443062:   5%|▌         | 21/400 [05:46<1:44:01, 16.47s/it]
Epoch 21 | KGC loss: 1.920267, DiffHEG loss 81.440086:   5%|▌         | 21/400 [06:02<1:44:01, 16.47s/it]
Epoch 21 | KGC loss: 1.920267, DiffHEG loss 81.440086:   6%|▌         | 22/400 [06:02<1:43:43, 16.46s/it]
Epoch 22 | KGC loss: 1.860734, DiffHEG loss 81.443494:   6%|▌         | 22/400 [06:18<1:43:43, 16.46s/it]
Epoch 22 | KGC loss: 1.860734, DiffHEG loss 81.443494:   6%|▌         | 23/400 [06:18<1:43:27, 16.47s/it]
Epoch 23 | KGC loss: 1.903497, DiffHEG loss 81.450587:   6%|▌         | 23/400 [06:35<1:43:27, 16.47s/it]
Epoch 23 | KGC loss: 1.903497, DiffHEG loss 81.450587:   6%|▌         | 24/400 [06:35<1:43:15, 16.48s/it]
Epoch 24 | KGC loss: 1.842671, DiffHEG loss 81.450994:   6%|▌         | 24/400 [06:51<1:43:15, 16.48s/it]
Epoch 24 | KGC loss: 1.842671, DiffHEG loss 81.450994:   6%|▋         | 25/400 [06:51<1:42:58, 16.48s/it]
Epoch 25 | KGC loss: 1.900301, DiffHEG loss 81.446853:   6%|▋         | 25/400 [07:08<1:42:58, 16.48s/it]
Epoch 25 | KGC loss: 1.900301, DiffHEG loss 81.446853:   6%|▋         | 26/400 [07:08<1:42:41, 16.47s/it]
Epoch 26 | KGC loss: 1.838733, DiffHEG loss 81.450186:   6%|▋         | 26/400 [07:24<1:42:41, 16.47s/it]
Epoch 26 | KGC loss: 1.838733, DiffHEG loss 81.450186:   7%|▋         | 27/400 [07:24<1:42:28, 16.48s/it]
Epoch 27 | KGC loss: 1.883440, DiffHEG loss 81.444838:   7%|▋         | 27/400 [07:41<1:42:28, 16.48s/it]
Epoch 27 | KGC loss: 1.883440, DiffHEG loss 81.444838:   7%|▋         | 28/400 [07:41<1:42:14, 16.49s/it]
Epoch 28 | KGC loss: 1.821122, DiffHEG loss 81.442297:   7%|▋         | 28/400 [07:57<1:42:14, 16.49s/it]
Epoch 28 | KGC loss: 1.821122, DiffHEG loss 81.442297:   7%|▋         | 29/400 [07:57<1:41:56, 16.49s/it]
Epoch 29 | KGC loss: 1.866786, DiffHEG loss 81.447554:   7%|▋         | 29/400 [08:14<1:41:56, 16.49s/it]
Epoch 29 | KGC loss: 1.866786, DiffHEG loss 81.447554:   8%|▊         | 30/400 [08:14<1:41:40, 16.49s/it]
Epoch 30 | KGC loss: 1.815612, DiffHEG loss 81.422060:   8%|▊         | 30/400 [08:30<1:41:40, 16.49s/it]
Epoch 30 | KGC loss: 1.815612, DiffHEG loss 81.422060:   8%|▊         | 31/400 [08:30<1:41:26, 16.50s/it]
Epoch 31 | KGC loss: 1.870584, DiffHEG loss 81.446918:   8%|▊         | 31/400 [08:47<1:41:26, 16.50s/it]
Epoch 31 | KGC loss: 1.870584, DiffHEG loss 81.446918:   8%|▊         | 32/400 [08:47<1:41:11, 16.50s/it]
Epoch 32 | KGC loss: 1.829810, DiffHEG loss 81.423657:   8%|▊         | 32/400 [09:03<1:41:11, 16.50s/it]
Epoch 32 | KGC loss: 1.829810, DiffHEG loss 81.423657:   8%|▊         | 33/400 [09:03<1:40:56, 16.50s/it]
Epoch 33 | KGC loss: 1.856638, DiffHEG loss 81.554681:   8%|▊         | 33/400 [09:20<1:40:56, 16.50s/it]
Epoch 33 | KGC loss: 1.856638, DiffHEG loss 81.554681:   8%|▊         | 34/400 [09:20<1:40:39, 16.50s/it]
Epoch 34 | KGC loss: 1.809158, DiffHEG loss 81.429717:   8%|▊         | 34/400 [09:36<1:40:39, 16.50s/it]
Epoch 34 | KGC loss: 1.809158, DiffHEG loss 81.429717:   9%|▉         | 35/400 [09:36<1:40:20, 16.49s/it]
Epoch 35 | KGC loss: 1.858038, DiffHEG loss 81.490884:   9%|▉         | 35/400 [09:53<1:40:20, 16.49s/it]
Epoch 35 | KGC loss: 1.858038, DiffHEG loss 81.490884:   9%|▉         | 36/400 [09:53<1:40:06, 16.50s/it]
Epoch 36 | KGC loss: 1.813455, DiffHEG loss 81.548620:   9%|▉         | 36/400 [10:09<1:40:06, 16.50s/it]
Epoch 36 | KGC loss: 1.813455, DiffHEG loss 81.548620:   9%|▉         | 37/400 [10:09<1:39:46, 16.49s/it]
Epoch 37 | KGC loss: 1.828467, DiffHEG loss 81.453827:   9%|▉         | 37/400 [10:26<1:39:46, 16.49s/it]
Epoch 37 | KGC loss: 1.828467, DiffHEG loss 81.453827:  10%|▉         | 38/400 [10:26<1:39:26, 16.48s/it]
