train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/home/student04/my_data/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=0 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=legacy | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=False | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=random | text_missing_mask_path=masks/relation_dependent/MKG-Y_relation_dependent_text30_seed0.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0016%
  available_text_before_injection: 12316
  additionally_masked_text_entities: 3695
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: 854adc5586549279ec6d083c8b21c843c0ae3e89cd9c0396aac36c340b1adb23
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 6379 (42.5267%)
  missing_image_count: 756 (5.0400%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=10 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=legacy | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 266.118875, DiffHEG loss 89.308618:   0%|          | 0/400 [00:08<?, ?it/s]
Epoch 0 | KGC loss: 266.118875, DiffHEG loss 89.308618:   0%|          | 1/400 [00:08<59:33,  8.95s/it]
Epoch 1 | KGC loss: 12.115382, DiffHEG loss 58.789808:   0%|          | 1/400 [00:17<59:33,  8.95s/it] 
Epoch 1 | KGC loss: 12.115382, DiffHEG loss 58.789808:   0%|          | 2/400 [00:17<58:31,  8.82s/it]
Epoch 2 | KGC loss: 6.435591, DiffHEG loss 50.659817:   0%|          | 2/400 [00:26<58:31,  8.82s/it] 
Epoch 2 | KGC loss: 6.435591, DiffHEG loss 50.659817:   1%|          | 3/400 [00:26<58:07,  8.78s/it]
Epoch 3 | KGC loss: 4.406883, DiffHEG loss 48.618433:   1%|          | 3/400 [00:35<58:07,  8.78s/it]
Epoch 3 | KGC loss: 4.406883, DiffHEG loss 48.618433:   1%|          | 4/400 [00:35<57:53,  8.77s/it]
Epoch 4 | KGC loss: 3.163857, DiffHEG loss 48.094017:   1%|          | 4/400 [00:43<57:53,  8.77s/it]
Epoch 4 | KGC loss: 3.163857, DiffHEG loss 48.094017:   1%|▏         | 5/400 [00:43<57:41,  8.76s/it]
Epoch 5 | KGC loss: 2.375553, DiffHEG loss 47.961863:   1%|▏         | 5/400 [00:52<57:41,  8.76s/it]
Epoch 5 | KGC loss: 2.375553, DiffHEG loss 47.961863:   2%|▏         | 6/400 [00:52<57:33,  8.77s/it]
Epoch 6 | KGC loss: 1.838271, DiffHEG loss 47.911048:   2%|▏         | 6/400 [01:01<57:33,  8.77s/it]
Epoch 6 | KGC loss: 1.838271, DiffHEG loss 47.911048:   2%|▏         | 7/400 [01:01<57:28,  8.77s/it]
Epoch 7 | KGC loss: 1.486506, DiffHEG loss 47.896453:   2%|▏         | 7/400 [01:10<57:28,  8.77s/it]
Epoch 7 | KGC loss: 1.486506, DiffHEG loss 47.896453:   2%|▏         | 8/400 [01:10<57:22,  8.78s/it]
Epoch 8 | KGC loss: 1.230569, DiffHEG loss 47.885869:   2%|▏         | 8/400 [01:19<57:22,  8.78s/it]
Epoch 8 | KGC loss: 1.230569, DiffHEG loss 47.885869:   2%|▏         | 9/400 [01:19<57:13,  8.78s/it]
Epoch 9 | KGC loss: 1.064354, DiffHEG loss 47.884846:   2%|▏         | 9/400 [01:27<57:13,  8.78s/it]
Epoch 9 | KGC loss: 1.064354, DiffHEG loss 47.884846:   2%|▎         | 10/400 [01:27<57:06,  8.79s/it]
Epoch 10 | KGC loss: 0.924020, DiffHEG loss 47.891834:   2%|▎         | 10/400 [01:36<57:06,  8.79s/it]
Epoch 10 | KGC loss: 0.924020, DiffHEG loss 47.891834:   3%|▎         | 11/400 [01:36<57:00,  8.79s/it]
Epoch 11 | KGC loss: 0.814465, DiffHEG loss 47.883371:   3%|▎         | 11/400 [01:45<57:00,  8.79s/it]
Epoch 11 | KGC loss: 0.814465, DiffHEG loss 47.883371:   3%|▎         | 12/400 [01:45<56:54,  8.80s/it]
Epoch 12 | KGC loss: 0.757297, DiffHEG loss 47.887650:   3%|▎         | 12/400 [01:54<56:54,  8.80s/it]
Epoch 12 | KGC loss: 0.757297, DiffHEG loss 47.887650:   3%|▎         | 13/400 [01:54<56:47,  8.80s/it]
Epoch 13 | KGC loss: 0.684084, DiffHEG loss 47.895511:   3%|▎         | 13/400 [02:03<56:47,  8.80s/it]
Epoch 13 | KGC loss: 0.684084, DiffHEG loss 47.895511:   4%|▎         | 14/400 [02:03<56:39,  8.81s/it]
Epoch 14 | KGC loss: 0.631817, DiffHEG loss 47.887827:   4%|▎         | 14/400 [02:11<56:39,  8.81s/it]
Epoch 14 | KGC loss: 0.631817, DiffHEG loss 47.887827:   4%|▍         | 15/400 [02:11<56:31,  8.81s/it]
Epoch 15 | KGC loss: 0.595805, DiffHEG loss 47.888189:   4%|▍         | 15/400 [02:20<56:31,  8.81s/it]
Epoch 15 | KGC loss: 0.595805, DiffHEG loss 47.888189:   4%|▍         | 16/400 [02:20<56:22,  8.81s/it]
Epoch 16 | KGC loss: 0.568168, DiffHEG loss 47.895411:   4%|▍         | 16/400 [02:29<56:22,  8.81s/it]
Epoch 16 | KGC loss: 0.568168, DiffHEG loss 47.895411:   4%|▍         | 17/400 [02:29<56:13,  8.81s/it]
Epoch 17 | KGC loss: 0.541376, DiffHEG loss 47.891595:   4%|▍         | 17/400 [02:38<56:13,  8.81s/it]
Epoch 17 | KGC loss: 0.541376, DiffHEG loss 47.891595:   4%|▍         | 18/400 [02:38<56:05,  8.81s/it]
Epoch 18 | KGC loss: 0.526524, DiffHEG loss 47.890266:   4%|▍         | 18/400 [02:47<56:05,  8.81s/it]
Epoch 18 | KGC loss: 0.526524, DiffHEG loss 47.890266:   5%|▍         | 19/400 [02:47<55:58,  8.81s/it]
Epoch 19 | KGC loss: 0.504799, DiffHEG loss 47.899375:   5%|▍         | 19/400 [02:55<55:58,  8.81s/it]
Epoch 19 | KGC loss: 0.504799, DiffHEG loss 47.899375:   5%|▌         | 20/400 [02:55<55:49,  8.81s/it]
Epoch 20 | KGC loss: 0.482302, DiffHEG loss 48.024344:   5%|▌         | 20/400 [03:04<55:49,  8.81s/it]
Epoch 20 | KGC loss: 0.482302, DiffHEG loss 48.024344:   5%|▌         | 21/400 [03:04<55:41,  8.82s/it]
Epoch 21 | KGC loss: 0.485289, DiffHEG loss 47.936406:   5%|▌         | 21/400 [03:13<55:41,  8.82s/it]
Epoch 21 | KGC loss: 0.485289, DiffHEG loss 47.936406:   6%|▌         | 22/400 [03:13<55:32,  8.82s/it]
Epoch 22 | KGC loss: 0.467238, DiffHEG loss 47.905345:   6%|▌         | 22/400 [03:22<55:32,  8.82s/it]
Epoch 22 | KGC loss: 0.467238, DiffHEG loss 47.905345:   6%|▌         | 23/400 [03:22<55:24,  8.82s/it]
Epoch 23 | KGC loss: 0.459310, DiffHEG loss 47.899662:   6%|▌         | 23/400 [03:31<55:24,  8.82s/it]
Epoch 23 | KGC loss: 0.459310, DiffHEG loss 47.899662:   6%|▌         | 24/400 [03:31<55:15,  8.82s/it]
Epoch 24 | KGC loss: 0.449865, DiffHEG loss 47.901206:   6%|▌         | 24/400 [03:40<55:15,  8.82s/it]
Epoch 24 | KGC loss: 0.449865, DiffHEG loss 47.901206:   6%|▋         | 25/400 [03:40<55:05,  8.82s/it]
Epoch 25 | KGC loss: 0.443039, DiffHEG loss 47.905198:   6%|▋         | 25/400 [03:48<55:05,  8.82s/it]
Epoch 25 | KGC loss: 0.443039, DiffHEG loss 47.905198:   6%|▋         | 26/400 [03:48<55:00,  8.83s/it]
Epoch 26 | KGC loss: 0.440782, DiffHEG loss 47.901042:   6%|▋         | 26/400 [03:57<55:00,  8.83s/it]
Epoch 26 | KGC loss: 0.440782, DiffHEG loss 47.901042:   7%|▋         | 27/400 [03:57<54:52,  8.83s/it]
Epoch 27 | KGC loss: 0.433091, DiffHEG loss 47.896059:   7%|▋         | 27/400 [04:06<54:52,  8.83s/it]
Epoch 27 | KGC loss: 0.433091, DiffHEG loss 47.896059:   7%|▋         | 28/400 [04:06<54:42,  8.82s/it]
Epoch 28 | KGC loss: 0.425905, DiffHEG loss 47.896761:   7%|▋         | 28/400 [04:15<54:42,  8.82s/it]
Epoch 28 | KGC loss: 0.425905, DiffHEG loss 47.896761:   7%|▋         | 29/400 [04:15<54:32,  8.82s/it]
Epoch 29 | KGC loss: 0.421132, DiffHEG loss 47.892514:   7%|▋         | 29/400 [04:24<54:32,  8.82s/it]
Epoch 29 | KGC loss: 0.421132, DiffHEG loss 47.892514:   8%|▊         | 30/400 [04:24<54:22,  8.82s/it]
Epoch 30 | KGC loss: 0.424664, DiffHEG loss 47.900987:   8%|▊         | 30/400 [04:33<54:22,  8.82s/it]
Epoch 30 | KGC loss: 0.424664, DiffHEG loss 47.900987:   8%|▊         | 31/400 [04:33<54:13,  8.82s/it]
Epoch 31 | KGC loss: 0.423607, DiffHEG loss 47.904927:   8%|▊         | 31/400 [04:41<54:13,  8.82s/it]
Epoch 31 | KGC loss: 0.423607, DiffHEG loss 47.904927:   8%|▊         | 32/400 [04:41<54:04,  8.82s/it]
Epoch 32 | KGC loss: 0.415769, DiffHEG loss 47.904016:   8%|▊         | 32/400 [04:50<54:04,  8.82s/it]
Epoch 32 | KGC loss: 0.415769, DiffHEG loss 47.904016:   8%|▊         | 33/400 [04:50<53:55,  8.82s/it]
Epoch 33 | KGC loss: 0.416074, DiffHEG loss 47.908799:   8%|▊         | 33/400 [04:59<53:55,  8.82s/it]
Epoch 33 | KGC loss: 0.416074, DiffHEG loss 47.908799:   8%|▊         | 34/400 [04:59<53:51,  8.83s/it]
Epoch 34 | KGC loss: 0.408980, DiffHEG loss 47.919904:   8%|▊         | 34/400 [05:08<53:51,  8.83s/it]
Epoch 34 | KGC loss: 0.408980, DiffHEG loss 47.919904:   9%|▉         | 35/400 [05:08<53:43,  8.83s/it]
Epoch 35 | KGC loss: 0.405761, DiffHEG loss 47.914601:   9%|▉         | 35/400 [05:17<53:43,  8.83s/it]
Epoch 35 | KGC loss: 0.405761, DiffHEG loss 47.914601:   9%|▉         | 36/400 [05:17<53:34,  8.83s/it]
Epoch 36 | KGC loss: 0.412010, DiffHEG loss 47.901214:   9%|▉         | 36/400 [05:25<53:34,  8.83s/it]
Epoch 36 | KGC loss: 0.412010, DiffHEG loss 47.901214:   9%|▉         | 37/400 [05:25<53:24,  8.83s/it]
Epoch 37 | KGC loss: 0.414051, DiffHEG loss 47.897496:   9%|▉         | 37/400 [05:34<53:24,  8.83s/it]
Epoch 37 | KGC loss: 0.414051, DiffHEG loss 47.897496:  10%|▉         | 38/400 [05:34<53:15,  8.83s/it]
Epoch 38 | KGC loss: 0.404491, DiffHEG loss 47.900352:  10%|▉         | 38/400 [05:43<53:15,  8.83s/it]
