train_dhns_rotate.py:859: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_img_emb = torch.load(visual_path)
train_dhns_rotate.py:860: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  original_text_emb = torch.load(textual_path)
/home/student04/my_data/DHNS-main/missing_text_protocol.py:72: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  payload = torch.load(path, map_location="cpu")
Experiment config | model=AdvMixRotatE | dataset=MKG-Y | seed=1 | ns_strategy=dhns | train_sampling_mode=cross | bern_flag=0 | dhns_use_bernoulli_normal_sampling=False | bernoulli_use_cross_sampling=False | text_mode=soft_token | use_missing_mask=False | use_text_loss_gating=False | use_text_sampling_gating=False | use_soft_missing_text=True | use_side_aware_missing_text=False | use_soft_missing_image=False | use_prototype_missing_text=False | use_structure_conditioned_missing_text=False | use_soft_token_text_generator_alignment=False | use_missing_aware_fusion=False | missing_text_attention_scale=1.0 | use_missingness_relation_expert=False | expert_hidden_dim=128 | expert_num=2 | use_branch_local_relation_gate=False | branch_gate_hidden_dim=64 | debug_fusion_sanity=False | use_learnable_missing_text_gate=False | use_oracle_restore_injected_text=False | test_only=False | use_missing_aware_joint_scoring=False | use_masked_fixed_denominator_joint_scoring=False | use_availability_router=False | availability_router_mode=query_masked_softmax | availability_router_eps=1e-06 | use_missing_aware_conditioning=False | use_missing_aware_film_conditioning=False | use_learned_reliability_conditioning=False | debug_joint_scoring_sanity=False | debug_missing_aware_joint_scoring=False | debug_missing_aware_joint_scoring_batches=3 | debug_reliability=False | debug_reliability_batches=3 | inject_text_missing_rate=0.3 | text_missing_mask_strategy=random | text_missing_mask_path=masks/relation_dependent/MKG-Y_relation_dependent_text30_seed1.pt | save_text_missing_mask_path=None | simulate_native_text_missing_rate=0.0 | inject_image_missing_rate=0.0 | use_missing_text_aux_loss=False | missing_text_aux_weight=0.1 | pseudo_missing_prob=0.0 | missing_sample_weight=1.0 | use_entity_specific_missing_text=False | use_retrieval_missing_text=False | retrieval_topk=5 | retrieval_pool_size=512 | retrieval_source=entity_embedding_knn | retrieval_mix_weight=1.0 | use_retrieval_confidence_calibration=False | retrieval_confidence_type=mean_topk_similarity | retrieval_confidence_min=0.1 | retrieval_confidence_max=1.0 | use_cross_modal_text_imputer=False | text_imputer_hidden_dim=256 | text_imputer_residual_weight=0.05 | text_imputer_rec_weight=0.01 | text_imputer_nce_weight=0.01 | text_imputer_temperature=0.07 | use_confidence_gated_retrieval=False | retrieval_gate_type=similarity_based | retrieval_gate_min=0.0 | retrieval_gate_max=1.0 | use_relation_aware_retrieval=False | min_relation_pool_size=32 | relation_retrieval_fallback=global_text_pool | entity_specific_missing_text_recon_weight=0.0 | use_missing_text_consistency=False | consistency_prob=0.1 | consistency_lambda=0.05 | use_missing_text_token_scale=False
Injected text missingness summary:
  requested_additional_missing_rate: 30.0000%
  applied_additional_missing_rate: 30.0016%
  available_text_before_injection: 12316
  additionally_masked_text_entities: 3695
  mask_strategy: random
  mask_source: loaded_file
  mask_checksum_sha256: 0e15753bce8fb92bb366ed4448c014bd6e94eb3f1f62b1b170653a2d1ac24715
Embedding missingness summary:
  num_entities: 15000
  missing_text_count: 6379 (42.5267%)
  missing_image_count: 756 (5.0400%)
Resolved training hyperparameters | rotate_dim=512 | rotate_margin=6.000000 | rotate_epsilon=2.000000 | train_times=400 | batch_size=2000 | num_batches=10 | neg_ent=64 | alpha=0.00200000 | lrg=0.00200000 | mu=0.010000 | g_epoch=10
Resolved text configuration | text_mode=soft_token | active_modalities=structural,visual,text | modality_count=3
Finish initializing...

  0%|          | 0/400 [00:00<?, ?it/s]
Epoch 0 | KGC loss: 431.836183, DiffHEG loss 84.266636:   0%|          | 0/400 [00:09<?, ?it/s]
Epoch 0 | KGC loss: 431.836183, DiffHEG loss 84.266636:   0%|          | 1/400 [00:09<1:00:50,  9.15s/it]
Epoch 1 | KGC loss: 13.257110, DiffHEG loss 56.372103:   0%|          | 1/400 [00:18<1:00:50,  9.15s/it] 
Epoch 1 | KGC loss: 13.257110, DiffHEG loss 56.372103:   0%|          | 2/400 [00:18<59:42,  9.00s/it]  
Epoch 2 | KGC loss: 7.131994, DiffHEG loss 49.980231:   0%|          | 2/400 [00:26<59:42,  9.00s/it] 
Epoch 2 | KGC loss: 7.131994, DiffHEG loss 49.980231:   1%|          | 3/400 [00:26<59:20,  8.97s/it]
Epoch 3 | KGC loss: 4.962821, DiffHEG loss 48.440231:   1%|          | 3/400 [00:35<59:20,  8.97s/it]
Epoch 3 | KGC loss: 4.962821, DiffHEG loss 48.440231:   1%|          | 4/400 [00:35<59:03,  8.95s/it]
Epoch 4 | KGC loss: 3.643232, DiffHEG loss 48.072685:   1%|          | 4/400 [00:44<59:03,  8.95s/it]
Epoch 4 | KGC loss: 3.643232, DiffHEG loss 48.072685:   1%|▏         | 5/400 [00:44<58:51,  8.94s/it]
Epoch 5 | KGC loss: 2.817981, DiffHEG loss 47.946650:   1%|▏         | 5/400 [00:53<58:51,  8.94s/it]
Epoch 5 | KGC loss: 2.817981, DiffHEG loss 47.946650:   2%|▏         | 6/400 [00:53<58:40,  8.94s/it]
Epoch 6 | KGC loss: 2.225210, DiffHEG loss 48.531025:   2%|▏         | 6/400 [01:02<58:40,  8.94s/it]
Epoch 6 | KGC loss: 2.225210, DiffHEG loss 48.531025:   2%|▏         | 7/400 [01:02<58:29,  8.93s/it]
Epoch 7 | KGC loss: 1.819008, DiffHEG loss 48.465302:   2%|▏         | 7/400 [01:11<58:29,  8.93s/it]
Epoch 7 | KGC loss: 1.819008, DiffHEG loss 48.465302:   2%|▏         | 8/400 [01:11<58:18,  8.93s/it]
Epoch 8 | KGC loss: 1.519000, DiffHEG loss 47.993854:   2%|▏         | 8/400 [01:20<58:18,  8.93s/it]
Epoch 8 | KGC loss: 1.519000, DiffHEG loss 47.993854:   2%|▏         | 9/400 [01:20<58:11,  8.93s/it]
Epoch 9 | KGC loss: 1.319695, DiffHEG loss 47.907751:   2%|▏         | 9/400 [01:29<58:11,  8.93s/it]
Epoch 9 | KGC loss: 1.319695, DiffHEG loss 47.907751:   2%|▎         | 10/400 [01:29<58:02,  8.93s/it]
Epoch 10 | KGC loss: 1.150114, DiffHEG loss 47.892041:   2%|▎         | 10/400 [01:38<58:02,  8.93s/it]
Epoch 10 | KGC loss: 1.150114, DiffHEG loss 47.892041:   3%|▎         | 11/400 [01:38<57:51,  8.92s/it]
Epoch 11 | KGC loss: 1.015337, DiffHEG loss 47.884969:   3%|▎         | 11/400 [01:47<57:51,  8.92s/it]
Epoch 11 | KGC loss: 1.015337, DiffHEG loss 47.884969:   3%|▎         | 12/400 [01:47<57:43,  8.93s/it]
Epoch 12 | KGC loss: 0.928061, DiffHEG loss 47.883175:   3%|▎         | 12/400 [01:56<57:43,  8.93s/it]
Epoch 12 | KGC loss: 0.928061, DiffHEG loss 47.883175:   3%|▎         | 13/400 [01:56<57:32,  8.92s/it]
Epoch 13 | KGC loss: 0.838303, DiffHEG loss 47.883558:   3%|▎         | 13/400 [02:05<57:32,  8.92s/it]
Epoch 13 | KGC loss: 0.838303, DiffHEG loss 47.883558:   4%|▎         | 14/400 [02:05<57:24,  8.92s/it]
Epoch 14 | KGC loss: 0.773787, DiffHEG loss 47.875058:   4%|▎         | 14/400 [02:14<57:24,  8.92s/it]
Epoch 14 | KGC loss: 0.773787, DiffHEG loss 47.875058:   4%|▍         | 15/400 [02:14<57:16,  8.93s/it]
Epoch 15 | KGC loss: 0.723974, DiffHEG loss 47.881552:   4%|▍         | 15/400 [02:22<57:16,  8.93s/it]
Epoch 15 | KGC loss: 0.723974, DiffHEG loss 47.881552:   4%|▍         | 16/400 [02:22<57:06,  8.92s/it]
Epoch 16 | KGC loss: 0.677388, DiffHEG loss 47.879514:   4%|▍         | 16/400 [02:31<57:06,  8.92s/it]
Epoch 16 | KGC loss: 0.677388, DiffHEG loss 47.879514:   4%|▍         | 17/400 [02:31<56:57,  8.92s/it]
Epoch 17 | KGC loss: 0.639975, DiffHEG loss 47.888648:   4%|▍         | 17/400 [02:40<56:57,  8.92s/it]
Epoch 17 | KGC loss: 0.639975, DiffHEG loss 47.888648:   4%|▍         | 18/400 [02:40<56:47,  8.92s/it]
Epoch 18 | KGC loss: 0.615432, DiffHEG loss 47.885402:   4%|▍         | 18/400 [02:49<56:47,  8.92s/it]
Epoch 18 | KGC loss: 0.615432, DiffHEG loss 47.885402:   5%|▍         | 19/400 [02:49<56:38,  8.92s/it]
Epoch 19 | KGC loss: 0.579525, DiffHEG loss 47.879521:   5%|▍         | 19/400 [02:58<56:38,  8.92s/it]
Epoch 19 | KGC loss: 0.579525, DiffHEG loss 47.879521:   5%|▌         | 20/400 [02:58<56:34,  8.93s/it]
Epoch 20 | KGC loss: 0.553409, DiffHEG loss 47.878385:   5%|▌         | 20/400 [03:07<56:34,  8.93s/it]
Epoch 20 | KGC loss: 0.553409, DiffHEG loss 47.878385:   5%|▌         | 21/400 [03:07<56:25,  8.93s/it]
Epoch 21 | KGC loss: 0.539330, DiffHEG loss 47.877026:   5%|▌         | 21/400 [03:16<56:25,  8.93s/it]
Epoch 21 | KGC loss: 0.539330, DiffHEG loss 47.877026:   6%|▌         | 22/400 [03:16<56:15,  8.93s/it]
Epoch 22 | KGC loss: 0.520069, DiffHEG loss 47.871611:   6%|▌         | 22/400 [03:25<56:15,  8.93s/it]
Epoch 22 | KGC loss: 0.520069, DiffHEG loss 47.871611:   6%|▌         | 23/400 [03:25<56:09,  8.94s/it]
Epoch 23 | KGC loss: 0.503204, DiffHEG loss 47.871856:   6%|▌         | 23/400 [03:34<56:09,  8.94s/it]
Epoch 23 | KGC loss: 0.503204, DiffHEG loss 47.871856:   6%|▌         | 24/400 [03:34<55:59,  8.94s/it]
Epoch 24 | KGC loss: 0.487200, DiffHEG loss 47.912412:   6%|▌         | 24/400 [03:43<55:59,  8.94s/it]
Epoch 24 | KGC loss: 0.487200, DiffHEG loss 47.912412:   6%|▋         | 25/400 [03:43<55:49,  8.93s/it]
Epoch 25 | KGC loss: 0.474011, DiffHEG loss 47.908387:   6%|▋         | 25/400 [03:52<55:49,  8.93s/it]
Epoch 25 | KGC loss: 0.474011, DiffHEG loss 47.908387:   6%|▋         | 26/400 [03:52<55:38,  8.93s/it]
Epoch 26 | KGC loss: 0.464445, DiffHEG loss 47.871764:   6%|▋         | 26/400 [04:01<55:38,  8.93s/it]
Epoch 26 | KGC loss: 0.464445, DiffHEG loss 47.871764:   7%|▋         | 27/400 [04:01<55:28,  8.92s/it]
Epoch 27 | KGC loss: 0.451520, DiffHEG loss 49.314230:   7%|▋         | 27/400 [04:10<55:28,  8.92s/it]
Epoch 27 | KGC loss: 0.451520, DiffHEG loss 49.314230:   7%|▋         | 28/400 [04:10<55:18,  8.92s/it]
Epoch 28 | KGC loss: 0.444588, DiffHEG loss 51.617129:   7%|▋         | 28/400 [04:18<55:18,  8.92s/it]
Epoch 28 | KGC loss: 0.444588, DiffHEG loss 51.617129:   7%|▋         | 29/400 [04:18<55:05,  8.91s/it]
Epoch 29 | KGC loss: 0.433229, DiffHEG loss 49.285447:   7%|▋         | 29/400 [04:27<55:05,  8.91s/it]
Epoch 29 | KGC loss: 0.433229, DiffHEG loss 49.285447:   8%|▊         | 30/400 [04:27<54:51,  8.90s/it]
Epoch 30 | KGC loss: 0.430685, DiffHEG loss 48.244050:   8%|▊         | 30/400 [04:36<54:51,  8.90s/it]
Epoch 30 | KGC loss: 0.430685, DiffHEG loss 48.244050:   8%|▊         | 31/400 [04:36<54:38,  8.89s/it]
Epoch 31 | KGC loss: 0.425960, DiffHEG loss 47.972425:   8%|▊         | 31/400 [04:45<54:38,  8.89s/it]
Epoch 31 | KGC loss: 0.425960, DiffHEG loss 47.972425:   8%|▊         | 32/400 [04:45<54:26,  8.88s/it]
Epoch 32 | KGC loss: 0.414430, DiffHEG loss 47.916200:   8%|▊         | 32/400 [04:54<54:26,  8.88s/it]
Epoch 32 | KGC loss: 0.414430, DiffHEG loss 47.916200:   8%|▊         | 33/400 [04:54<54:18,  8.88s/it]
Epoch 33 | KGC loss: 0.412301, DiffHEG loss 47.893413:   8%|▊         | 33/400 [05:03<54:18,  8.88s/it]
Epoch 33 | KGC loss: 0.412301, DiffHEG loss 47.893413:   8%|▊         | 34/400 [05:03<54:07,  8.87s/it]
Epoch 34 | KGC loss: 0.402991, DiffHEG loss 47.895663:   8%|▊         | 34/400 [05:12<54:07,  8.87s/it]
Epoch 34 | KGC loss: 0.402991, DiffHEG loss 47.895663:   9%|▉         | 35/400 [05:12<53:58,  8.87s/it]
Epoch 35 | KGC loss: 0.404257, DiffHEG loss 47.890201:   9%|▉         | 35/400 [05:21<53:58,  8.87s/it]
Epoch 35 | KGC loss: 0.404257, DiffHEG loss 47.890201:   9%|▉         | 36/400 [05:21<53:51,  8.88s/it]
Epoch 36 | KGC loss: 0.410937, DiffHEG loss 47.889874:   9%|▉         | 36/400 [05:29<53:51,  8.88s/it]
Epoch 36 | KGC loss: 0.410937, DiffHEG loss 47.889874:   9%|▉         | 37/400 [05:29<53:42,  8.88s/it]
Epoch 37 | KGC loss: 0.396823, DiffHEG loss 47.886405:   9%|▉         | 37/400 [05:38<53:42,  8.88s/it]
Epoch 37 | KGC loss: 0.396823, DiffHEG loss 47.886405:  10%|▉         | 38/400 [05:38<53:32,  8.87s/it]
Epoch 38 | KGC loss: 0.409238, DiffHEG loss 47.883963:  10%|▉         | 38/400 [05:47<53:32,  8.87s/it]
Epoch 38 | KGC loss: 0.409238, DiffHEG loss 47.883963:  10%|▉         | 39/400 [05:47<53:24,  8.88s/it]
Epoch 39 | KGC loss: 0.399137, DiffHEG loss 47.881731:  10%|▉         | 39/400 [05:56<53:24,  8.88s/it]
Epoch 39 | KGC loss: 0.399137, DiffHEG loss 47.881731:  10%|█         | 40/400 [05:56<53:13,  8.87s/it]
Epoch 40 | KGC loss: 0.392653, DiffHEG loss 47.886182:  10%|█         | 40/400 [06:05<53:13,  8.87s/it]
Epoch 40 | KGC loss: 0.392653, DiffHEG loss 47.886182:  10%|█         | 41/400 [06:05<53:03,  8.87s/it]
Epoch 41 | KGC loss: 0.387758, DiffHEG loss 47.892203:  10%|█         | 41/400 [06:14<53:03,  8.87s/it]
Epoch 41 | KGC loss: 0.387758, DiffHEG loss 47.892203:  10%|█         | 42/400 [06:14<52:58,  8.88s/it]
Epoch 42 | KGC loss: 0.390978, DiffHEG loss 47.892352:  10%|█         | 42/400 [06:23<52:58,  8.88s/it]
Epoch 42 | KGC loss: 0.390978, DiffHEG loss 47.892352:  11%|█         | 43/400 [06:23<52:47,  8.87s/it]
Epoch 43 | KGC loss: 0.384107, DiffHEG loss 47.883276:  11%|█         | 43/400 [06:32<52:47,  8.87s/it]
Epoch 43 | KGC loss: 0.384107, DiffHEG loss 47.883276:  11%|█         | 44/400 [06:32<52:37,  8.87s/it]
Epoch 44 | KGC loss: 0.376264, DiffHEG loss 47.892642:  11%|█         | 44/400 [06:40<52:37,  8.87s/it]
Epoch 44 | KGC loss: 0.376264, DiffHEG loss 47.892642:  11%|█▏        | 45/400 [06:40<52:30,  8.87s/it]
Epoch 45 | KGC loss: 0.379561, DiffHEG loss 47.891904:  11%|█▏        | 45/400 [06:49<52:30,  8.87s/it]
Epoch 45 | KGC loss: 0.379561, DiffHEG loss 47.891904:  12%|█▏        | 46/400 [06:49<52:20,  8.87s/it]
Epoch 46 | KGC loss: 0.373553, DiffHEG loss 47.894116:  12%|█▏        | 46/400 [06:58<52:20,  8.87s/it]
