method,epoch,epoch_number,beta_text_missing_mean,missing_text_token_grad_norm_mean,missing_text_token_grad_norm_max
Zero Padding,0,1,0.4851120959210675,,
Zero Padding,9,10,0.4796820068440866,,
Zero Padding,19,20,0.4774071276333416,,
Zero Padding,29,30,0.47599550418090075,,
Zero Padding,39,40,0.4750676178227877,,
Zero Padding,49,50,0.4743527004466159,,
Zero Padding,59,60,0.47397063505195547,,
Zero Padding,69,70,0.4737646838184446,,
Zero Padding,79,80,0.4735453440225683,,
Zero Padding,89,90,0.47372676685336046,,
Zero Padding,99,100,0.47418365061457735,,
Zero Padding,109,110,0.4747286390775116,,
Zero Padding,119,120,0.4755812417570269,,
Zero Padding,129,130,0.47675462369807065,,
Zero Padding,139,140,0.47772759808867704,,
Zero Padding,149,150,0.4792116016469663,,
Zero Padding,159,160,0.4813576851884136,,
Zero Padding,169,170,0.4829867491789628,,
Zero Padding,179,180,0.4847494326386368,,
Zero Padding,189,190,0.48657868860755116,,
Zero Padding,199,200,0.48825572070199996,,
Zero Padding,209,210,0.48934046806243714,,
Zero Padding,219,220,0.49099495343398303,,
Zero Padding,229,230,0.4926370268804021,,
Zero Padding,239,240,0.4939599597128108,,
Zero Padding,249,250,0.495375871003489,,
Zero Padding,259,260,0.49700219226360787,,
Zero Padding,269,270,0.49913710172404535,,
Zero Padding,279,280,0.5010824654164026,,
Zero Padding,289,290,0.5028534757148009,,
Zero Padding,299,300,0.504528299687081,,
Zero Padding,309,310,0.5057695949071785,,
Zero Padding,319,320,0.5078106586151989,,
Zero Padding,329,330,0.5100007511937292,,
Zero Padding,339,340,0.5114342319284333,,
Zero Padding,349,350,0.5139035495958524,,
Zero Padding,359,360,0.5160414884740021,,
Zero Padding,369,370,0.5188464785314864,,
Zero Padding,379,380,0.521676987526007,,
Zero Padding,389,390,0.5248398829862708,,
Zero Padding,399,400,0.5284821463283151,,
Soft Missing Token,0,1,0.5190247672435362,3.4873505353927614,22.39249610900879
Soft Missing Token,9,10,0.5198350463761017,0.03014801796525717,0.03407515212893486
Soft Missing Token,19,20,0.5124286180507625,0.013135685492306948,0.014445679262280464
Soft Missing Token,29,30,0.5074679804820335,0.00945735741406679,0.01038910448551178
Soft Missing Token,39,40,0.5043468366202433,0.008156597428023816,0.00974617712199688
Soft Missing Token,49,50,0.5025235409848392,0.008230875944718719,0.009046831168234348
Soft Missing Token,59,60,0.5022566403640667,0.008414935739710926,0.009477327577769756
Soft Missing Token,69,70,0.503263748207246,0.00927246017381549,0.010697550140321255
Soft Missing Token,79,80,0.505769326875452,0.010195546224713326,0.011964759789407253
Soft Missing Token,89,90,0.5100382357486524,0.010903715156018734,0.014562354423105717
Soft Missing Token,99,100,0.515490021702135,0.01148140775039792,0.0143825002014637
Soft Missing Token,109,110,0.5216351447597845,0.01114152455702424,0.012805377133190632
Soft Missing Token,119,120,0.5287936051608995,0.011589584499597549,0.013726386241614819
Soft Missing Token,129,130,0.5358009452611441,0.012176531925797462,0.013852164149284363
Soft Missing Token,139,140,0.5425453412899515,0.013418581150472165,0.017893904820084572
Soft Missing Token,149,150,0.5508114573167404,0.012315866630524397,0.013565418310463428
Soft Missing Token,159,160,0.557702599442564,0.012517807260155677,0.014642979018390179
Soft Missing Token,169,170,0.5647457127779489,0.012809961382299662,0.014388635754585266
Soft Missing Token,179,180,0.5718713298410876,0.013446501549333334,0.014233462512493134
Soft Missing Token,189,190,0.5771061184932478,0.01220139879733324,0.01362346950918436
Soft Missing Token,199,200,0.5829572533257306,0.01266350457444787,0.013784105889499187
Soft Missing Token,209,210,0.5874437595630297,0.012921174336224795,0.014639089815318584
Soft Missing Token,219,220,0.5924660696764477,0.013381862547248602,0.015130151994526386
Soft Missing Token,229,230,0.5971660697250627,0.013706813659518957,0.015257423743605614
Soft Missing Token,239,240,0.6004485499142902,0.01352797755971551,0.01611705869436264
Soft Missing Token,249,250,0.604826966417022,0.01352422684431076,0.015045994892716408
Soft Missing Token,259,260,0.6083011243463261,0.01377375777810812,0.014720004983246326
Soft Missing Token,269,270,0.6129878534702584,0.014700064156204461,0.01600654609501362
Soft Missing Token,279,280,0.6155939902528189,0.014921933691948653,0.016291623935103416
Soft Missing Token,289,290,0.618764775164891,0.01491188695654273,0.015752160921692848
Soft Missing Token,299,300,0.6219590095133753,0.014783438108861447,0.01550304051488638
Soft Missing Token,309,310,0.6249457764351973,0.014408362191170454,0.015825778245925903
Soft Missing Token,319,320,0.6283564329787623,0.015195524599403144,0.0165353175252676
Soft Missing Token,329,330,0.631904513167683,0.01496706809848547,0.015991875901818275
Soft Missing Token,339,340,0.6320412763161585,0.014992278162389993,0.01711340621113777
Soft Missing Token,349,350,0.6353795793402242,0.01568630989640951,0.016713319346308708
Soft Missing Token,359,360,0.6378621945041232,0.01631512837484479,0.01847083494067192
Soft Missing Token,369,370,0.6415529477817472,0.01594817843288183,0.01762014999985695
Soft Missing Token,379,380,0.6433601272874512,0.016244462970644236,0.017073726281523705
Soft Missing Token,389,390,0.6456206229195232,0.01724914349615574,0.01876794546842575
Soft Missing Token,399,400,0.6473293629533146,0.01715294225141406,0.018809910863637924
