inject_image_missing_rate,setting,split,MRR,MR,Hit@10,Hit@3,Hit@1
0.3,No Soft Missing-Image,Overall,0.370075,1491.904785,0.447803,0.398986,0.320315
0.3,No Soft Missing-Image,Head/Tail Missing Image,0.406112,1486.270667,0.485333,0.435333,0.356667
0.3,No Soft Missing-Image,Head/Tail Both Have Image,0.323598,1499.171539,0.399398,0.352107,0.273431
0.3,B-full,Overall,0.369846,1427.776123,0.448367,0.399549,0.319940
0.3,B-full,Head/Tail Missing Image,0.408119,1287.875667,0.488667,0.438333,0.358000
0.3,B-full,Head/Tail Both Have Image,0.320484,1608.215391,0.396389,0.349527,0.270851
0.5,No Soft Missing-Image,Overall,0.367723,1572.543457,0.445175,0.397672,0.317875
0.5,No Soft Missing-Image,Head/Tail Missing Image,0.381555,1620.063431,0.462037,0.412782,0.329889
0.5,No Soft Missing-Image,Head/Tail Both Have Image,0.318268,1402.631443,0.384880,0.343643,0.274914
0.5,B-full,Overall,0.367751,1381.827271,0.446677,0.400300,0.315809
0.5,B-full,Head/Tail Missing Image,0.383880,1353.993272,0.463719,0.416627,0.331331
0.5,B-full,Head/Tail Both Have Image,0.310083,1481.350515,0.385739,0.341924,0.260309
