model,pseudo_missing_prob,seed,split,MRR,MR,Hit@10,Hit@3,Hit@1
RotatE,0.0,0,overall,0.371963,1364.711792,0.448179,0.400488,0.324634
RotatE,0.0,0,head_or_tail_missing_text,0.362329,1350.173641,0.435598,0.392663,0.315489
RotatE,0.0,0,head_or_tail_injected_missing_text,0.375563,1220.597002,0.451058,0.406966,0.326279
RotatE,0.0,0,head_or_tail_both_have_text,0.393503,1397.215067,0.476306,0.417983,0.345079
RotatE,0.1,0,overall,0.370464,1501.933960,0.445738,0.397296,0.324446
RotatE,0.1,0,head_or_tail_missing_text,0.361268,1465.456793,0.434783,0.390489,0.315217
RotatE,0.1,0,head_or_tail_injected_missing_text,0.374620,1379.353175,0.449735,0.405644,0.326279
RotatE,0.1,0,head_or_tail_both_have_text,0.391024,1583.486634,0.470231,0.412515,0.345079
RotatE,0.2,0,overall,0.370106,1537.589844,0.444611,0.397484,0.323507
RotatE,0.2,0,head_or_tail_missing_text,0.361223,1499.738587,0.433967,0.390217,0.314946
RotatE,0.2,0,head_or_tail_injected_missing_text,0.374764,1400.201499,0.450617,0.405203,0.327160
RotatE,0.2,0,head_or_tail_both_have_text,0.389969,1622.214459,0.468408,0.413730,0.342649
RotatE,0.3,0,overall,0.369356,1557.992920,0.443673,0.397484,0.322569
RotatE,0.3,0,head_or_tail_missing_text,0.359984,1515.038859,0.431522,0.389674,0.313315
RotatE,0.3,0,head_or_tail_injected_missing_text,0.374336,1414.744709,0.446649,0.405203,0.326720
RotatE,0.3,0,head_or_tail_both_have_text,0.390311,1654.026124,0.470838,0.414945,0.343256
