split,metric,mean,std
Overall,MRR,0.3722432355086009,0.0005367357011325345
Overall,MR,1286.908203125,12.545101902118535
Overall,Hit@10,0.45193390051523846,0.0014175479582042817
Overall,Hit@3,0.4000500738620758,0.00227126447473801
Overall,Hit@1,0.32350732882817584,0.0011421011309000093
Head/Tail Missing Text,MRR,0.33437084689108787,0.0012902458886750842
Head/Tail Missing Text,MR,1336.3195449844882,10.240804246368306
Head/Tail Missing Text,Hit@10,0.40727335401585657,0.0020896855658362906
Head/Tail Missing Text,Hit@3,0.359358841778697,0.003619441571871773
Head/Tail Missing Text,Hit@1,0.29007238883143743,0.0027360406526004077
Head/Tail Both Have Text,MRR,0.39383773908735625,0.00010721333751973878
Head/Tail Both Have Text,MR,1258.7356525157234,14.89668339927804
Head/Tail Both Have Text,Hit@10,0.47739779874213834,0.0018953716118303725
Head/Tail Both Have Text,Hit@3,0.423250786163522,0.0017274366972530317
Head/Tail Both Have Text,Hit@1,0.3425707547169811,0.0005106281861936367
