seed,split,mrr,mr,hit10,hit3,hit1
0,Overall,0.3713687062263489,1297.828125,0.45212167501449585,0.4001126289367676,0.3221930265426636
0,Head Missing Text,0.27722862583875013,1459.5824915824917,0.3501683501683502,0.29797979797979796,0.234006734006734
0,Tail Missing Text,0.4011942742846345,1188.6334033613446,0.4789915966386555,0.43067226890756305,0.3560924369747899
0,Head/Tail Missing Text,0.3320221387873325,1387.816442605998,0.405894519131334,0.3572905894519131,0.2874870734229576
0,Head/Tail Both Have Text,0.39380394656001233,1246.5200471698113,0.47847877358490565,0.42452830188679247,0.3419811320754717
1,Overall,0.37113499641418457,1319.656494140625,0.45137062668800354,0.39954936504364014,0.3210664689540863
1,Head Missing Text,0.2734087873182056,1484.0244107744109,0.34764309764309764,0.29713804713804715,0.22895622895622897
1,Tail Missing Text,0.4045505023981991,1204.373949579832,0.47584033613445376,0.42962184873949577,0.36239495798319327
1,Head/Tail Missing Text,0.33154111079463894,1412.6825232678386,0.40537745604963804,0.3572905894519131,0.2869700103412616
1,Head/Tail Both Have Text,0.3937112707721248,1266.6161556603774,0.47759433962264153,0.4236438679245283,0.3405070754716981
2,Overall,0.3698083162307739,1292.779296875,0.4509951174259186,0.39767178893089294,0.31975215673446655
2,Head Missing Text,0.2710655937082229,1479.6675084175083,0.3468013468013468,0.2937710437710438,0.2255892255892256
2,Tail Missing Text,0.40306536039195895,1195.7521008403362,0.47478991596638653,0.43067226890756305,0.3592436974789916
2,Head/Tail Missing Text,0.3301825902104719,1399.3821096173733,0.40382626680455014,0.3562564632885212,0.28490175801447776
2,Head/Tail Both Have Text,0.39240270396280114,1231.9982311320755,0.47788915094339623,0.4212853773584906,0.33962264150943394
