split,metric,mean,std
Overall,MRR,0.3707706729571025,0.0008415776378967038
Overall,MR,1303.4213053385417,14.284911023118653
Overall,Hit@10,0.45149580637613934,0.0005736161310812202
Overall,Hit@3,0.39911126097043353,0.001278036137121979
Overall,Hit@1,0.32100388407707214,0.001221637837194436
Head Missing Text,MRR,0.27390100228839287,0.003110859679113644
Head Missing Text,MR,1474.4248035914702,13.037113133888134
Head Missing Text,Hit@10,0.34820426487093153,0.0017522441072947432
Head Missing Text,Hit@3,0.2962962962962963,0.0022270633931519915
Head Missing Text,Hit@1,0.22951739618406286,0.004236719660645757
Tail Missing Text,MRR,0.40293671235826417,0.001681808409124097
Tail Missing Text,MR,1196.2531512605042,7.882226047047107
Tail Missing Text,Hit@10,0.47654061624649857,0.0021866239490190703
Tail Missing Text,Hit@3,0.43032212885154064,0.0006064603667958553
Tail Missing Text,Hit@1,0.3592436974789916,0.0031512605042016695
Head/Tail Missing Text,MRR,0.3312486132641478,0.0009540182627523527
Head/Tail Missing Text,MR,1399.96035849707,12.443121420907394
Head/Tail Missing Text,Hit@10,0.4050327473285074,0.0010763526367456749
Head/Tail Missing Text,Hit@3,0.3569458807307825,0.0005970530188103687
Head/Tail Missing Text,Hit@1,0.28645294725956566,0.0013680203263002038
Head/Tail Both Have Text,MRR,0.39330597376497944,0.000783625836774508
Head/Tail Both Have Text,MR,1248.3781446540881,17.383600586691163
Head/Tail Both Have Text,Hit@10,0.4779874213836478,0.0004503317310294494
Head/Tail Both Have Text,Hit@3,0.42315251572327045,0.0016763681318034513
Head/Tail Both Have Text,Hit@1,0.34070361635220126,0.0011914657677852074
